kem,total_tcp,keyshare,certificate,signature,total_tls
p256,412,65,306,64,1476
x25519,412,32,306,64,1410
p256_mlkem512,412,865,306,64,3036
x25519_mlkem512,412,832,306,64,2970
mlkem512,412,800,306,64,2906
