Handshake_ID,P-521_Time_ms,P-521_Bytes_Total,2,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,5,mlkem1024_Time_ms,mlkem1024_Bytes_Total
100,9.05,6664.0,,14.59,6734.0,,4.17,6602.0
101,6.27,3963.0,,14.87,6735.0,,4.06,6601.0
102,6.24,3963.0,,14.91,6735.0,,4.38,6601.0
103,6.51,3963.0,,21.94,12208.0,,4.33,6602.0
104,7.16,3963.0,,20.54,6735.0,,4.22,16204.0
105,1006.71,6664.0,,14.49,6735.0,,4.19,6602.0
106,6.66,3963.0,,14.87,6735.0,,4.21,6601.0
107,6.17,3963.0,,14.73,6733.0,,4.28,6602.0
108,6.07,5225.0,,14.24,6734.0,,4.11,6601.0
109,6.04,3963.0,,14.37,6733.0,,5.75,6601.0
110,6.11,3963.0,,15.24,17466.0,,1008.87,6602.0
111,6.99,3963.0,,15.74,6734.0,,4.29,6601.0
112,6.24,3963.0,,16.73,6735.0,,4.39,16204.0
113,6.03,3963.0,,17.43,6734.0,,4.34,6600.0
114,7.96,3963.0,,14.51,6734.0,,4.14,6602.0
115,6.3,3963.0,,14.44,6734.0,,4.36,6602.0
116,7.41,3963.0,,14.92,6734.0,,4.21,6602.0
117,6.19,3963.0,,14.7,6734.0,,4.23,6602.0
118,8.01,3963.0,,14.83,6734.0,,1011.19,16204.0
119,1005.9,3963.0,,18.25,6734.0,,4.39,6602.0
120,6.43,3963.0,,15.02,6734.0,,4.12,6601.0
121,6.8,3963.0,,15.93,6734.0,,5.83,11941.0
122,8.2,3963.0,,15.69,6735.0,,4.48,6602.0
123,6.17,6664.0,,1015.41,6734.0,,4.08,16204.0
124,7.87,3963.0,,14.85,6734.0,,1010.59,6601.0
125,6.22,7926.0,,15.07,24111.0,,4.19,6602.0
126,10.61,3963.0,,15.44,26806.0,,4.29,6602.0
127,7.79,3963.0,,14.7,6735.0,,6.33,17466.0
128,6.17,3963.0,,14.48,6734.0,,4.17,6602.0
129,8.01,5225.0,,14.86,6735.0,,4.28,6602.0
130,6.16,3963.0,,15.41,6735.0,,1012.73,6600.0
131,8.86,3963.0,,14.8,6735.0,,4.16,6601.0
132,5.99,3963.0,,14.53,12207.0,,4.23,6602.0
133,6.09,6664.0,,20.85,6734.0,,4.75,6602.0
134,6.22,3963.0,,15.06,6735.0,,1009.86,6602.0
135,8.12,3963.0,,18.6,6735.0,,4.05,6602.0
136,6.25,7749.0,,19.87,6735.0,,5.71,11941.0
137,7.46,3963.0,,18.18,6735.0,,4.42,6602.0
138,1006.21,3963.0,,14.81,6735.0,,4.31,6602.0
139,6.04,3963.0,,1037.34,6735.0,,4.21,6602.0
140,6.1,3963.0,,14.67,17466.0,,5.95,6602.0
141,8.65,3963.0,,1029.43,6734.0,,5.19,6602.0
142,1005.62,3963.0,,14.64,6735.0,,4.96,6602.0
143,6.36,3963.0,,14.93,6735.0,,4.16,6601.0
144,6.16,3963.0,,15.05,6733.0,,4.16,6602.0
145,8.0,3963.0,,21.99,6734.0,,4.48,6600.0
146,6.19,3963.0,,15.0,17466.0,,4.01,6602.0
147,6.19,3963.0,,18.76,6734.0,,4.27,6601.0
148,6.26,3963.0,,14.95,17465.0,,4.28,6601.0
149,6.23,3963.0,,15.47,11066.0,,4.18,16405.0
150,7002.25,3963.0,,16.67,6735.0,,4.18,6602.0
151,6.38,3963.0,,19.03,6735.0,,4.15,6602.0
152,6.37,3963.0,,18.05,6734.0,,5.63,6601.0
153,8.56,3963.0,,15.8,6735.0,,4.74,6601.0
154,7.43,3963.0,,14.6,6734.0,,4.29,6601.0
155,8.35,3963.0,,14.88,6735.0,,4.44,6602.0
156,6.25,3963.0,,1019.25,6734.0,,4.18,6602.0
157,6.38,3963.0,,15.11,6735.0,,4.29,11942.0
158,6.13,5225.0,,17.35,6734.0,,1032.01,6602.0
159,7.42,3963.0,,14.73,11066.0,,4.25,6600.0
160,7.81,3963.0,,15.14,11409.0,,4.15,6600.0
161,7.01,3963.0,,16.73,6734.0,,4.22,6602.0
162,6.19,3963.0,,1016.54,6735.0,,5.15,6602.0
163,9.05,3963.0,,25.17,6734.0,,4.21,6601.0
164,6.4,3963.0,,1022.0,6735.0,,4.8,6601.0
165,6.17,3963.0,,1039.77,12206.0,,4.39,6602.0
166,8.38,3963.0,,19.05,6734.0,,5.14,6602.0
167,6.19,3963.0,,18.18,12207.0,,4.4,25414.0
168,6.09,3963.0,,20.56,6734.0,,4.2,6601.0
169,6.09,3963.0,,14.53,6735.0,,4.7,6601.0
170,6.09,3963.0,,15.19,6735.0,,4.49,6601.0
171,6.1,3963.0,,16.03,6735.0,,5.03,6601.0
172,1006.05,3963.0,,18.49,17466.0,,4.44,6602.0
173,7.81,3963.0,,15.83,6734.0,,4.4,11941.0
174,6.26,3963.0,,16.21,6735.0,,4.15,11941.0
175,8.35,6664.0,,1042.69,6735.0,,4.3,11608.0
176,6.67,3963.0,,1209.32,6735.0,,4.72,6601.0
177,6.6,3963.0,,15.87,6734.0,,4.36,6601.0
178,8.06,3963.0,,15.94,6735.0,,1016.89,6601.0
179,6.03,5225.0,,19.54,12208.0,,4.23,6602.0
180,6.05,3963.0,,15.45,17466.0,,4.21,16948.0
181,6.38,3963.0,,18.34,6735.0,,4.64,6602.0
182,7.71,3963.0,,15.12,6734.0,,4.65,11942.0
183,6.14,3963.0,,14.45,17465.0,,4.64,11941.0
184,7.49,5225.0,,14.99,6735.0,,4.1,6601.0
185,6.26,3963.0,,14.73,6735.0,,4.24,6602.0
186,6.5,3963.0,,14.85,6734.0,,4.33,6601.0
187,6.26,3963.0,,17.91,6735.0,,4.12,6601.0
188,7.15,3963.0,,14.13,6734.0,,1004.46,6601.0
189,6.21,3963.0,,17.18,12207.0,,4.75,6602.0
190,6.22,3963.0,,1018.64,6735.0,,6.12,6601.0
191,6.69,3963.0,,14.36,6735.0,,4.73,6602.0
192,6.49,3963.0,,14.62,6735.0,,4.73,11941.0
193,6.08,3963.0,,21.2,6733.0,,4.43,6602.0
194,1006.06,3963.0,,16.65,6735.0,,1003.91,6601.0
195,6.06,3963.0,,14.81,6735.0,,5.54,16204.0
196,6.34,3963.0,,14.89,17466.0,,4.88,16119.0
197,7.91,3963.0,,15.07,6734.0,,6.42,6602.0
198,6.14,3963.0,,22.69,31256.0,,6.48,6602.0
199,1006.19,3963.0,,1016.11,6735.0,,5.78,6601.0
200,6.17,3963.0,,14.4,6734.0,,5.95,6602.0
201,6.09,3963.0,,21.81,11066.0,,5.11,6602.0
202,6.18,3963.0,,1017.61,6733.0,,5.67,6601.0
203,6.16,3963.0,,21.11,6735.0,,5.13,6602.0
204,6.37,3963.0,,14.57,6734.0,,4.38,6602.0
205,8.3,3963.0,,14.89,17465.0,,4.37,6601.0
206,6.14,3963.0,,14.39,6735.0,,4.92,6602.0
207,6.76,3963.0,,14.31,6734.0,,4.94,6602.0
208,7.28,3963.0,,14.61,6734.0,,4.94,6601.0
209,6.95,3963.0,,14.62,17466.0,,4.69,6602.0
210,6.37,5225.0,,14.93,17466.0,,5.11,6602.0
211,6.46,3963.0,,16.04,6735.0,,6.42,6601.0
212,6.68,3963.0,,21.74,12207.0,,1012.04,6602.0
213,6.77,3963.0,,16.19,6735.0,,1031.13,6600.0
214,6.28,3963.0,,14.61,6735.0,,4.16,6602.0
215,6.32,5225.0,,18.81,6735.0,,4.18,6601.0
216,6.62,3963.0,,1016.24,6734.0,,4.76,6601.0
217,6.08,3963.0,,14.43,12206.0,,4.61,6602.0
218,7.73,3963.0,,1054.84,6734.0,,4.03,6601.0
219,6.08,3963.0,,15.98,6733.0,,4.15,6601.0
220,7.0,3963.0,,14.84,17466.0,,4.24,6602.0
221,6.18,3963.0,,1040.69,6735.0,,4.33,6600.0
222,6.03,3963.0,,14.49,6734.0,,4.17,6602.0
223,5.98,3963.0,,17.79,6735.0,,4.26,6602.0
224,8.96,6664.0,,14.43,17466.0,,4.23,6601.0
225,1006.89,3963.0,,1017.4,6735.0,,3.98,16946.0
226,6.3,9365.0,,14.36,6734.0,,4.48,16202.0
227,6.35,3963.0,,15.25,6735.0,,4.25,28146.0
228,6.27,3963.0,,14.46,6734.0,,4.42,6601.0
229,7.43,3963.0,,1019.75,6735.0,,4.29,16118.0
230,1006.32,3963.0,,1015.55,6735.0,,4.12,6600.0
231,6.15,3963.0,,15.39,6734.0,,4.29,6602.0
232,6.17,6664.0,,17.37,6734.0,,4.48,6602.0
233,8.08,3963.0,,14.86,6734.0,,3.98,6600.0
234,7.73,3963.0,,14.61,6735.0,,4.15,6601.0
235,6.0,3963.0,,15.1,6734.0,,4.47,6602.0
236,6.06,3963.0,,14.76,6734.0,,5.75,6602.0
237,6.36,3963.0,,14.74,6735.0,,5.6,6602.0
238,6.49,3963.0,,14.64,17465.0,,4.2,6600.0
239,6.08,3963.0,,16.43,17465.0,,4.9,6601.0
240,7.54,3963.0,,14.56,6735.0,,4.7,6601.0
241,7.36,7749.0,,15.79,6734.0,,4.48,6601.0
242,6.18,3963.0,,1014.75,6734.0,,6.0,6601.0
243,6.2,3963.0,,14.25,12207.0,,1003.45,6602.0
244,6.73,6664.0,,14.39,6735.0,,1010.03,6601.0
245,7.57,5225.0,,15.13,12207.0,,5.96,11066.0
246,8.89,7749.0,,1018.5,6733.0,,4.02,6601.0
247,7.03,3963.0,,15.84,12207.0,,1011.38,6602.0
248,8.88,6487.0,,14.88,6735.0,,4.09,16203.0
249,9.24,3963.0,,24.73,6735.0,,1031.17,6602.0
250,7.17,3963.0,,16.65,6735.0,,4.94,6600.0
251,7.07,3963.0,,20.94,6734.0,,4.65,6601.0
252,9.28,3963.0,,17.88,6735.0,,4.56,6602.0
253,6.57,3963.0,,15.31,35558.0,,4.07,6602.0
254,6.07,3963.0,,14.48,6735.0,,4.48,6601.0
255,6.45,3963.0,,16.31,6734.0,,5.05,11941.0
256,6.75,3963.0,,17.77,6735.0,,4.63,6602.0
257,7.02,3963.0,,14.62,6735.0,,5.71,6600.0
258,8.49,3963.0,,14.54,6734.0,,4.69,6601.0
259,6.53,3963.0,,20.04,6734.0,,4.34,6602.0
260,7003.09,6664.0,,1016.72,6734.0,,4.32,6602.0
261,6.07,6664.0,,1016.62,6734.0,,4.16,6602.0
262,6.39,3963.0,,17.27,6733.0,,4.2,6602.0
263,6.29,3963.0,,14.58,6733.0,,4.42,6602.0
