kem,keyshare,certificate,signature,1RTT,total_quic
p384,97,430,104,1262,3963
x448,56,430,103,1262,3963
p384_mlkem768,1281,430,102,1262,6403
x448_mlkem768,1240,430,103,1262,6403
mlkem768,1184,430,104,1262,5951
