KEM_ALG,Suma_TCP,Suma_TLS,Suma_Total
P-384,412,1703,2115
x448,412,1620,2032
p384_mlkem768,412,3968,4380
x448_mlkem768,412,3885,4297
mlkem768,412,3772,4184
