Handshake_ID,P-256_Time_ms,P-256_Bytes_Total,2,x25519_Time_ms,x25519_Bytes_Total,5,p256_mlkem512_Time_ms,p256_mlkem512_Bytes_Total,8,x25519_mlkem512_Time_ms,x25519_mlkem512_Bytes_Total,11,mlkem512_Time_ms,mlkem512_Bytes_Total
59,2.65,7926.0,,1002.09,3963.0,,1014.58,5550.0,,4.16,5517.0,,3.18,11706.0
60,1002.17,3963.0,,2.19,10627.0,,1054.46,5550.0,,3.88,9772.0,,2.62,5485.0
61,2.77,3963.0,,3.06,3963.0,,10.29,18999.0,,1004.06,5517.0,,2.21,5485.0
62,2.49,6664.0,,2.32,9365.0,,10.47,29855.0,,4.25,9772.0,,2.38,10450.0
63,3.09,3963.0,,2.2,9188.0,,10.56,5550.0,,3.98,5517.0,,2.45,13499.0
64,2.71,3963.0,,2.16,5225.0,,10.5,5550.0,,6.17,5517.0,,2.63,5485.0
65,2.81,3963.0,,2.6,3963.0,,16.06,5550.0,,3.94,9772.0,,2.28,10555.0
66,3000.43,3963.0,,1002.44,3963.0,,12.43,5550.0,,4.57,5517.0,,3000.69,10538.0
67,2.61,3963.0,,3.67,6664.0,,11.23,5550.0,,4.68,14825.0,,2.35,10538.0
68,2.42,3963.0,,2.16,5225.0,,1014.97,5550.0,,4.07,5517.0,,2.86,9708.0
69,3.96,6664.0,,2.33,3963.0,,1049.71,9838.0,,4.31,5517.0,,2.34,5485.0
70,2.62,3963.0,,1001.66,3963.0,,11.97,9838.0,,4.37,5517.0,,3000.24,5485.0
71,3.17,6664.0,,2.56,3963.0,,11.25,5550.0,,4.57,10570.0,,2.56,9708.0
72,1002.89,3963.0,,2.69,3963.0,,10.43,9838.0,,4.51,14825.0,,2.39,5485.0
73,2.72,5225.0,,2.97,5225.0,,10.65,5550.0,,4.3,5517.0,,3000.56,5485.0
74,2.43,3963.0,,2.91,3963.0,,10.18,14711.0,,4.93,5517.0,,2.29,11703.0
75,2.98,3963.0,,2.31,3963.0,,11.75,5550.0,,3.99,5517.0,,1003.18,5485.0
76,3.15,3963.0,,3000.29,6664.0,,10.45,5550.0,,1004.3,5517.0,,2.39,10538.0
77,2.51,10627.0,,1003.08,3963.0,,10.01,5550.0,,4.06,5517.0,,1027.66,5485.0
78,3.01,3963.0,,2.54,6664.0,,9.83,5550.0,,4.88,12715.0,,1003.68,5485.0
79,3.49,3963.0,,2.72,5225.0,,9.83,5550.0,,3.82,5517.0,,1003.22,5485.0
80,3.13,5225.0,,2.61,3963.0,,9.78,5550.0,,1004.18,5517.0,,2.85,9276.0
81,2.55,3963.0,,2.53,3963.0,,10.05,9838.0,,1004.35,5517.0,,3.35,14761.0
82,2.72,3963.0,,1001.35,5225.0,,12.07,15326.0,,4.46,5517.0,,2.64,5485.0
83,2.58,3963.0,,2.53,3963.0,,11.38,9838.0,,4.09,9772.0,,2.58,5485.0
84,3.57,3963.0,,2.63,3963.0,,1011.97,5550.0,,4.8,5517.0,,3.1,14761.0
85,2.69,5225.0,,2.75,3963.0,,9.68,5550.0,,4.58,5517.0,,2.41,5485.0
86,3.55,6664.0,,2.25,5225.0,,10.34,9838.0,,4.99,5517.0,,3.25,14761.0
87,3.01,6487.0,,1001.65,3963.0,,9.69,9838.0,,4.31,14027.0,,3.28,5485.0
88,2.53,7749.0,,2.03,3963.0,,9.79,5550.0,,1033.04,15990.0,,1028.11,5485.0
89,2.65,3963.0,,2.14,3963.0,,9.67,34387.0,,3.87,5517.0,,2.62,9276.0
90,1002.67,3963.0,,2.83,3963.0,,9.77,17235.0,,5.85,9772.0,,1002.99,10538.0
91,2.56,3963.0,,2.75,3963.0,,11.15,9838.0,,4.51,5517.0,,2.6,5485.0
92,2.69,3963.0,,2.32,3963.0,,10.42,5550.0,,3.83,5517.0,,2.49,9708.0
93,2.7,3963.0,,2.15,3963.0,,1127.65,23287.0,,3.67,9308.0,,2.48,22067.0
94,2.78,6487.0,,2.27,3963.0,,11.97,5550.0,,4.09,22073.0,,1002.89,5485.0
95,2.51,3963.0,,1002.29,3963.0,,10.74,5550.0,,4.48,16087.0,,2.43,14761.0
96,1002.41,5225.0,,2.02,6664.0,,11.16,29855.0,,4.21,10570.0,,1002.66,5485.0
97,2.79,3963.0,,2.15,3963.0,,10.12,5550.0,,3.84,5517.0,,2.34,5485.0
98,2.65,9188.0,,1001.96,7926.0,,10.82,9838.0,,3.68,9772.0,,2.39,5485.0
99,1002.78,3963.0,,2.36,5225.0,,11.39,5550.0,,4.33,9772.0,,1003.19,5485.0
100,2.72,3963.0,,2.21,3963.0,,9.8,14711.0,,4.02,5517.0,,2.51,9708.0
101,2.52,5225.0,,2.35,3963.0,,15.3,5550.0,,1029.38,9772.0,,3.2,5485.0
102,2.69,5225.0,,1001.52,3963.0,,10.51,5550.0,,4.2,5517.0,,1002.95,23595.0
103,2.85,7926.0,,2.24,3963.0,,10.05,5550.0,,3.94,5517.0,,2.54,10538.0
104,1002.36,3963.0,,2.14,3963.0,,10.29,5550.0,,3.98,5517.0,,2.79,10538.0
105,2.66,3963.0,,2.37,3963.0,,1029.52,5550.0,,3.93,5517.0,,2.36,5485.0
106,3.52,5225.0,,2.28,3963.0,,10.81,5550.0,,3.85,5517.0,,1003.05,13931.0
107,3001.93,5225.0,,2.73,3963.0,,11.47,5550.0,,4.57,5517.0,,1002.33,5485.0
108,6998.79,3963.0,,2.21,6664.0,,1024.14,5550.0,,1003.22,10570.0,,3.36,9276.0
109,2.74,3963.0,,2.45,3963.0,,10.92,14711.0,,1003.2,10570.0,,2.47,5485.0
110,3.51,3963.0,,2.18,3963.0,,11.86,5550.0,,3.78,5517.0,,2.85,5485.0
111,2.86,5225.0,,2.29,3963.0,,10.44,5550.0,,3.76,5517.0,,3000.28,5485.0
112,2.64,3963.0,,2.65,3963.0,,10.62,14126.0,,3.91,5517.0,,1003.49,9708.0
113,2.38,7926.0,,3.38,3963.0,,1011.97,19897.0,,1005.29,10570.0,,2.39,9276.0
114,3001.85,3963.0,,2.3,3963.0,,10.51,5550.0,,3.98,9772.0,,2.29,5485.0
115,2.72,6664.0,,2.34,3963.0,,10.42,9838.0,,1003.19,11735.0,,1002.63,5485.0
116,1002.53,7926.0,,1001.64,3963.0,,16.04,5550.0,,3.81,5517.0,,2.21,5485.0
117,2.58,3963.0,,1002.11,3963.0,,1057.14,9838.0,,3.98,5517.0,,2.42,5485.0
118,1002.73,3963.0,,2.15,3963.0,,9.97,5550.0,,3.88,10570.0,,2.34,5485.0
119,1002.85,6664.0,,2.1,7926.0,,11.88,5550.0,,3.94,5517.0,,2.29,5485.0
120,2.64,3963.0,,2.17,3963.0,,11.23,18999.0,,3.86,11738.0,,2.38,13931.0
121,2.83,3963.0,,2.28,5225.0,,12.34,5550.0,,5.72,5517.0,,2.4,5485.0
122,1002.6,3963.0,,2.04,3963.0,,1013.39,5550.0,,4.29,5517.0,,2.38,9708.0
123,1002.7,5225.0,,2.3,3963.0,,10.46,5550.0,,4.02,17255.0,,2.7,5485.0
124,1002.84,5225.0,,2.35,3963.0,,14.43,9838.0,,4.72,9772.0,,1036.03,5485.0
125,2.63,3963.0,,2.05,3963.0,,11.15,5550.0,,4.24,15990.0,,1002.88,9708.0
126,2.6,3963.0,,3.1,9188.0,,10.51,9838.0,,5.74,5517.0,,1002.32,10538.0
127,2.4,3963.0,,2.38,5225.0,,10.78,10556.0,,4.34,10587.0,,3.07,5485.0
128,1003.06,6664.0,,2.21,3963.0,,11.86,5550.0,,3.85,16586.0,,2.52,5485.0
129,1002.61,3963.0,,2.33,3963.0,,13.44,5550.0,,4.15,5517.0,,2.37,5485.0
130,2.66,3963.0,,2.21,3963.0,,16.25,10620.0,,1004.32,5517.0,,2.49,5485.0
131,2.88,7926.0,,2.34,3963.0,,1015.58,18999.0,,1004.49,5517.0,,2.17,14761.0
132,2.61,5225.0,,2.31,3963.0,,10.76,5550.0,,4.09,5517.0,,1003.08,5485.0
133,1003.39,3963.0,,2.72,6664.0,,10.84,9838.0,,4.0,15324.0,,2.33,5485.0
134,2.72,6664.0,,2.27,3963.0,,10.37,5550.0,,6.3,5517.0,,2.35,11800.0
135,2.57,3963.0,,2.88,3963.0,,11.57,14711.0,,1003.58,5517.0,,2.37,5485.0
136,1002.16,7926.0,,2.28,3963.0,,10.08,5550.0,,4.26,10523.0,,2.6,5485.0
137,2.83,6487.0,,2.27,9365.0,,1009.76,22923.0,,3.89,5517.0,,3.31,16023.0
138,2.66,3963.0,,1002.34,5225.0,,1009.56,26409.0,,1030.16,10570.0,,1002.79,9708.0
139,2.91,3963.0,,2.3,3963.0,,14.46,5550.0,,4.15,13977.0,,2.39,9708.0
140,1002.96,6664.0,,2.18,3963.0,,12.09,5550.0,,4.11,5517.0,,2.37,5485.0
141,2.62,3963.0,,1002.4,3963.0,,10.11,5550.0,,1003.72,10570.0,,2.39,5485.0
142,2.73,3963.0,,2.18,3963.0,,11.14,5550.0,,4.05,9772.0,,2.28,5485.0
143,3.15,6664.0,,2.41,3963.0,,11.29,5550.0,,3002.67,10570.0,,2.29,5485.0
144,3.79,3963.0,,2.13,3963.0,,11.81,9838.0,,5.0,9772.0,,2.32,22775.0
145,3.11,3963.0,,2.3,3963.0,,10.54,9838.0,,5.21,9772.0,,2.42,9708.0
146,2.71,6664.0,,1001.53,3963.0,,15.75,5550.0,,3003.58,5517.0,,2.56,13931.0
147,2.52,3963.0,,1001.8,3963.0,,12.62,10556.0,,4.65,5517.0,,2.5,9276.0
148,2.44,3963.0,,1001.68,3963.0,,1015.19,5550.0,,3.96,14027.0,,2.42,9708.0
149,1001.89,7926.0,,2.19,5225.0,,11.94,5550.0,,5.23,9308.0,,2.55,9708.0
150,1002.63,5225.0,,2.13,3963.0,,10.76,5550.0,,4.61,18282.0,,2.71,10444.0
151,3.08,3963.0,,2.1,7926.0,,10.51,5550.0,,1030.33,5517.0,,2.42,5485.0
152,3.2,3963.0,,2.14,3963.0,,11.07,9838.0,,4.53,11561.0,,3.15,15676.0
153,2.62,5225.0,,2.09,5225.0,,10.73,18999.0,,1029.32,19080.0,,2.48,26284.0
154,3.4,5225.0,,2.1,3963.0,,10.8,5550.0,,1088.34,9772.0,,3.41,5485.0
155,3.24,6487.0,,2.45,3963.0,,10.93,5550.0,,3.85,10570.0,,1002.65,5485.0
156,2.84,3963.0,,2.66,6664.0,,10.82,5550.0,,4.03,5517.0,,2.21,5485.0
157,2.69,6664.0,,2.21,3963.0,,1010.21,5550.0,,4.25,5517.0,,2.86,5485.0
158,1003.36,7926.0,,2.44,3963.0,,10.76,14126.0,,4.09,14027.0,,2.56,5485.0
159,2.69,3963.0,,2.25,3963.0,,11.41,5550.0,,1086.1,16970.0,,2.39,14761.0
160,1002.85,6487.0,,3.6,6487.0,,1037.24,5550.0,,3.86,10570.0,,1002.9,5485.0
161,2.65,3963.0,,2.74,5225.0,,12.38,9838.0,,4.32,5517.0,,2.38,5485.0
162,2.67,3963.0,,1001.95,3963.0,,1014.56,14711.0,,1003.53,11735.0,,3.16,5485.0
163,2.48,7926.0,,2.13,3963.0,,15.66,5550.0,,4.18,10587.0,,2.42,5485.0
164,2.66,9365.0,,2.35,5225.0,,11.6,5550.0,,1004.24,9772.0,,1003.28,9708.0
165,1002.42,12066.0,,2.26,3963.0,,10.92,5550.0,,1033.53,9308.0,,2.56,5485.0
166,2.62,3963.0,,2.08,3963.0,,10.95,5550.0,,4.01,9772.0,,2.27,9276.0
167,3001.41,3963.0,,2.26,6664.0,,1016.03,5550.0,,1003.88,9772.0,,2.98,10538.0
168,2.57,3963.0,,2.98,3963.0,,9.93,5550.0,,4.09,9772.0,,1003.66,5485.0
169,2.42,3963.0,,2.09,3963.0,,10.82,5550.0,,3.98,5517.0,,3.59,14778.0
170,2.4,3963.0,,2.6,11889.0,,10.49,31117.0,,1003.28,5517.0,,3.34,9708.0
171,2.68,3963.0,,3.13,3963.0,,3008.65,11768.0,,3.82,5517.0,,2.57,5485.0
172,2.48,3963.0,,2.29,3963.0,,1034.5,5550.0,,3.99,5517.0,,2.29,11706.0
173,2.5,9365.0,,1001.5,3963.0,,14.83,14711.0,,3.88,5517.0,,2.72,5485.0
174,2.46,3963.0,,2.11,11535.0,,10.76,9838.0,,5.52,5517.0,,2.4,9276.0
175,2.9,3963.0,,2.04,6664.0,,10.3,5550.0,,3.87,5517.0,,2.47,5485.0
176,2.56,5225.0,,1002.52,3963.0,,9.82,5550.0,,3.71,5517.0,,2.32,5485.0
177,2.55,7926.0,,2.14,5225.0,,10.81,5550.0,,3.94,5517.0,,3.29,9276.0
178,3.7,3963.0,,1002.58,6487.0,,10.53,14844.0,,3.76,15993.0,,1002.71,5485.0
179,2.54,3963.0,,2.02,9188.0,,10.19,5550.0,,4.19,5517.0,,1002.96,5485.0
180,2.56,3963.0,,2.28,10627.0,,15.23,9838.0,,1003.38,5517.0,,2.32,5485.0
181,2.72,3963.0,,2.09,3963.0,,12.04,10556.0,,3.79,5517.0,,2.28,5485.0
182,3.45,3963.0,,2.06,7749.0,,10.46,14711.0,,4.53,5517.0,,2.89,16938.0
183,1003.0,3963.0,,1.97,7926.0,,1011.32,5550.0,,3.9,21140.0,,2.81,5485.0
184,1002.6,5225.0,,2.19,3963.0,,10.4,5550.0,,4.06,5517.0,,3.29,5485.0
185,3.06,3963.0,,2.15,3963.0,,10.85,5550.0,,3.87,5517.0,,1002.78,10538.0
186,2.63,3963.0,,3001.11,3963.0,,10.65,10620.0,,3001.48,5517.0,,2.12,9708.0
187,1002.33,3963.0,,1001.63,3963.0,,15.96,5550.0,,4.03,5517.0,,2.26,5485.0
188,1001.85,5225.0,,2.22,3963.0,,10.62,5550.0,,4.07,5517.0,,2.21,22244.0
189,3000.5,3963.0,,2.34,3963.0,,10.24,5550.0,,1004.22,5517.0,,2.21,5485.0
190,2.94,12066.0,,1002.26,3963.0,,10.34,19549.0,,4.57,14825.0,,3000.52,5485.0
191,2.46,6487.0,,3.0,5225.0,,1012.54,5550.0,,3.95,5517.0,,2.1,5485.0
192,3.33,3963.0,,2.12,3963.0,,10.39,5550.0,,1004.19,5517.0,,2.14,5485.0
193,1003.17,3963.0,,2.35,5225.0,,11.12,5550.0,,4.0,16087.0,,1031.06,5485.0
194,2.6,3963.0,,2.11,3963.0,,10.71,5550.0,,3.82,10523.0,,1510.58,5485.0
195,2.96,7926.0,,2.29,3963.0,,11.73,5550.0,,4.94,5517.0,,2.79,5485.0
196,3000.39,3963.0,,2.22,3963.0,,10.66,5550.0,,3.81,10570.0,,2.42,9276.0
197,2.5,3963.0,,2.04,3963.0,,11.49,5550.0,,3.84,14027.0,,2.23,5485.0
198,2.6,3963.0,,2.05,3963.0,,10.6,5550.0,,1032.41,10570.0,,2.57,17722.0
199,2.56,3963.0,,2999.83,5225.0,,10.66,5550.0,,4.06,12715.0,,2.36,11800.0
200,1002.75,3963.0,,2.01,6487.0,,10.4,14711.0,,1004.83,5517.0,,1002.2,5485.0
201,3.33,3963.0,,2.1,3963.0,,10.59,5550.0,,5.25,19080.0,,3.48,10191.0
202,2.68,9365.0,,2.29,3963.0,,12.37,5550.0,,1028.67,11832.0,,2.51,5485.0
203,2.54,3963.0,,6996.64,7926.0,,1013.43,5550.0,,1029.0,5517.0,,2.36,5485.0
204,2.55,3963.0,,2.27,3963.0,,11.1,9838.0,,3.72,5517.0,,2.34,5485.0
205,2.81,3963.0,,2.05,6664.0,,11.7,34144.0,,3.82,5517.0,,2.34,5485.0
206,2.56,3963.0,,2.6,3963.0,,9.82,14711.0,,1004.51,5517.0,,2.49,5485.0
207,2.54,6664.0,,2.56,3963.0,,9.83,5550.0,,4.19,5517.0,,3.08,5485.0
208,2.6,3963.0,,1001.4,3963.0,,9.75,5550.0,,4.41,5517.0,,2.22,5485.0
209,2.65,3963.0,,3002.04,5225.0,,11.87,31118.0,,3.67,5517.0,,1002.91,12715.0
210,2.65,5225.0,,3000.53,12066.0,,10.45,5550.0,,3.84,16087.0,,1002.64,5485.0
211,2.6,5225.0,,2.24,3963.0,,1034.67,5550.0,,3.83,5517.0,,2.25,5485.0
212,3.22,3963.0,,3.33,3963.0,,1036.49,5550.0,,4.83,5517.0,,2.09,10538.0
213,2.53,3963.0,,1001.48,3963.0,,11.8,5550.0,,4.72,5517.0,,1028.38,10555.0
214,2.21,3963.0,,2.44,3963.0,,1013.91,14711.0,,3.93,9772.0,,2.83,5485.0
215,3.21,9188.0,,2.57,3963.0,,10.56,5550.0,,3.98,5517.0,,2.58,10555.0
216,2.39,6487.0,,2.27,3963.0,,10.26,5550.0,,4.93,5517.0,,2.69,5485.0
217,2.78,3963.0,,6996.46,3963.0,,10.56,5550.0,,4.07,9772.0,,3001.4,5485.0
218,3.5,3963.0,,1002.26,3963.0,,10.38,5550.0,,6.42,5517.0,,2.42,5485.0
