"No.","Time","Source","Destination","Protocol","Length","Info","UTC Time","Delta"
"1","0.000000000","02:7f:19:76:cc:14","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","08:42:59,213252417","0.000000000"
"2","1.004500709","02:7f:19:76:cc:14","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","08:43:00,217753126","1.004500709"
"3","2.004372501","02:7f:19:76:cc:14","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","08:43:01,217624918","0.999871792"
"4","5.128883086","02:7f:19:76:cc:14","Broadcast","ARP","42","Who has 172.19.0.2? Tell 172.19.0.3","08:43:04,342135503","3.124510585"
"5","5.128895086","32:6c:18:dd:70:55","02:7f:19:76:cc:14","ARP","42","172.19.0.2 is at 32:6c:18:dd:70:55","08:43:04,342147503","0.000012000"
"6","5.128910253","172.19.0.3","172.19.0.2","TCP","74","58550  >  4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2383569121 TSecr=0 WS=128","08:43:04,342162670","0.000015167"
"7","5.128921128","172.19.0.2","172.19.0.3","TCP","74","4433  >  58550 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3234300465 TSecr=2383569121 WS=128","08:43:04,342173545","0.000010875"
"8","5.128930670","172.19.0.3","172.19.0.2","TCP","66","58550  >  4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2383569121 TSecr=3234300465","08:43:04,342183087","0.000009542"
"9","5.128952628","172.19.0.3","172.19.0.2","TLSv1.3","1672","Client Hello","08:43:04,342205045","0.000021958"
"10","5.128955420","172.19.0.2","172.19.0.3","TCP","66","4433  >  58550 [ACK] Seq=1 Ack=1607 Win=67328 Len=0 TSval=3234300465 TSecr=2383569121","08:43:04,342207837","0.000002792"
"11","5.130531420","172.19.0.2","172.19.0.3","TLSv1.3","1954","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data","08:43:04,343783837","0.001576000"
"12","5.130550045","172.19.0.3","172.19.0.2","TCP","66","58550  >  4433 [ACK] Seq=1607 Ack=1889 Win=67968 Len=0 TSval=2383569122 TSecr=3234300466","08:43:04,343802462","0.000018625"
"13","5.132704836","172.19.0.3","172.19.0.2","TLSv1.3","146","Change Cipher Spec, Application Data","08:43:04,345957253","0.002154791"
"14","5.132738670","172.19.0.3","172.19.0.2","TCP","66","58550  >  4433 [RST, ACK] Seq=1687 Ack=1889 Win=67968 Len=0 TSval=2383569125 TSecr=3234300466","08:43:04,345991087","0.000033834"
"15","10.189550589","32:6c:18:dd:70:55","02:7f:19:76:cc:14","ARP","42","Who has 172.19.0.3? Tell 172.19.0.2","08:43:09,402803006","5.056811919"
"16","10.189791797","02:7f:19:76:cc:14","32:6c:18:dd:70:55","ARP","42","172.19.0.3 is at 02:7f:19:76:cc:14","08:43:09,403044214","0.000241208"
