"No.","Time","Source","Destination","Protocol","Length","Info","UTC Time","Delta"
"1","0.000000000","de:7b:10:c5:6d:f2","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:19:16,632177092","0.000000000"
"2","1.001471501","de:7b:10:c5:6d:f2","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:19:17,633648593","1.001471501"
"3","2.004394835","de:7b:10:c5:6d:f2","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:19:18,636571927","1.002923334"
"4","5.124415294","de:7b:10:c5:6d:f2","Broadcast","ARP","42","Who has 172.19.0.2? Tell 172.19.0.3","06:19:21,756592386","3.120020459"
"5","5.124431836","8a:1f:b4:31:05:a6","de:7b:10:c5:6d:f2","ARP","42","172.19.0.2 is at 8a:1f:b4:31:05:a6","06:19:21,756608928","0.000016542"
"6","5.124449503","172.19.0.3","172.19.0.2","TCP","74","42998  >  4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2376924204 TSecr=0 WS=128","06:19:21,756626595","0.000017667"
"7","5.124464211","172.19.0.2","172.19.0.3","TCP","74","4433  >  42998 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3227655548 TSecr=2376924204 WS=128","06:19:21,756641303","0.000014708"
"8","5.124476044","172.19.0.3","172.19.0.2","TCP","66","42998  >  4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2376924204 TSecr=3227655548","06:19:21,756653136","0.000011833"
"9","5.124514669","172.19.0.3","172.19.0.2","TLSv1.3","561","Client Hello","06:19:21,756691761","0.000038625"
"10","5.124518503","172.19.0.2","172.19.0.3","TCP","66","4433  >  42998 [ACK] Seq=1 Ack=496 Win=64768 Len=0 TSval=3227655548 TSecr=2376924204","06:19:21,756695595","0.000003834"
"11","5.125200336","172.19.0.2","172.19.0.3","TLSv1.3","769","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data","06:19:21,757377428","0.000681833"
"12","5.125220128","172.19.0.3","172.19.0.2","TCP","66","42998  >  4433 [ACK] Seq=496 Ack=704 Win=63616 Len=0 TSval=2376924204 TSecr=3227655548","06:19:21,757397220","0.000019792"
"13","5.125925961","172.19.0.3","172.19.0.2","TLSv1.3","146","Change Cipher Spec, Application Data","06:19:21,758103053","0.000705833"
"14","5.125963003","172.19.0.3","172.19.0.2","TCP","66","42998  >  4433 [RST, ACK] Seq=576 Ack=704 Win=63616 Len=0 TSval=2376924205 TSecr=3227655548","06:19:21,758140095","0.000037042"
"15","10.368086741","8a:1f:b4:31:05:a6","de:7b:10:c5:6d:f2","ARP","42","Who has 172.19.0.3? Tell 172.19.0.2","06:19:27,000263833","5.242123738"
"16","10.368348366","de:7b:10:c5:6d:f2","8a:1f:b4:31:05:a6","ARP","42","172.19.0.3 is at de:7b:10:c5:6d:f2","06:19:27,000525458","0.000261625"
