"No.","Time","Source","Destination","Protocol","Length","Info","UTC Time","Delta"
"1","0.000000000","86:59:8d:1c:3e:59","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:23:41,175495715","0.000000000"
"2","1.005352083","86:59:8d:1c:3e:59","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:23:42,180847798","1.005352083"
"3","2.002644959","86:59:8d:1c:3e:59","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:23:43,178140674","0.997292876"
"4","5.122482960","86:59:8d:1c:3e:59","Broadcast","ARP","42","Who has 172.19.0.2? Tell 172.19.0.3","06:23:46,297978675","3.119838001"
"5","5.122494835","8a:4f:9e:38:34:01","86:59:8d:1c:3e:59","ARP","42","172.19.0.2 is at 8a:4f:9e:38:34:01","06:23:46,297990550","0.000011875"
"6","5.122508502","172.19.0.3","172.19.0.2","TCP","74","33052  >  4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2377188747 TSecr=0 WS=128","06:23:46,298004217","0.000013667"
"7","5.122519169","172.19.0.2","172.19.0.3","TCP","74","4433  >  33052 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3227920091 TSecr=2377188747 WS=128","06:23:46,298014884","0.000010667"
"8","5.122529335","172.19.0.3","172.19.0.2","TCP","66","33052  >  4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2377188747 TSecr=3227920091","06:23:46,298025050","0.000010166"
"9","5.122565919","172.19.0.3","172.19.0.2","TLSv1.3","1288","Client Hello","06:23:46,298061634","0.000036584"
"10","5.122569169","172.19.0.2","172.19.0.3","TCP","66","4433  >  33052 [ACK] Seq=1 Ack=1223 Win=67072 Len=0 TSval=3227920091 TSecr=2377188747","06:23:46,298064884","0.000003250"
"11","5.123151669","172.19.0.2","172.19.0.3","TLSv1.3","1472","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data","06:23:46,298647384","0.000582500"
"12","5.123171294","172.19.0.3","172.19.0.2","TCP","66","33052  >  4433 [ACK] Seq=1223 Ack=1407 Win=67072 Len=0 TSval=2377188748 TSecr=3227920092","06:23:46,298667009","0.000019625"
"13","5.123893585","172.19.0.3","172.19.0.2","TLSv1.3","146","Change Cipher Spec, Application Data","06:23:46,299389300","0.000722291"
"14","5.123928127","172.19.0.3","172.19.0.2","TCP","66","33052  >  4433 [RST, ACK] Seq=1303 Ack=1407 Win=67072 Len=0 TSval=2377188749 TSecr=3227920092","06:23:46,299423842","0.000034542"
"15","10.522947713","8a:4f:9e:38:34:01","86:59:8d:1c:3e:59","ARP","42","Who has 172.19.0.3? Tell 172.19.0.2","06:23:51,698443428","5.399019586"
"16","10.523100713","86:59:8d:1c:3e:59","8a:4f:9e:38:34:01","ARP","42","172.19.0.3 is at 86:59:8d:1c:3e:59","06:23:51,698596428","0.000153000"
