P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
12.29,5.73,21.53,7.29,5.75
9.42,7.09,21.09,7.06,5.61
10.18,7.8,16.77,7.12,5.35
9.14,5.89,16.35,6.59,5.47
12.56,5.48,18.14,7.28,5.17
9.68,8.25,22.62,7.58,5.48
11.56,8.24,26.3,8.71,5.27
9.13,9.75,19.64,10.52,5.25
15.04,7.17,16.41,7.15,5.79
9.31,9.49,17.34,9.0,5.42
9.11,9.23,16.52,6.92,5.28
8.62,8.01,15.93,6.88,5.18
8.69,8.28,16.34,6.97,5.18
9.71,7.96,19.99,6.99,4.96
8.98,7.74,18.79,6.6,4.95
9.17,7.34,16.58,7.12,4.88
9.42,7.71,22.37,6.53,5.0
11.98,6.99,23.31,6.31,5.05
15.79,7.5,23.08,6.51,5.04
12.48,7.89,18.45,6.33,4.92
9.44,7.54,18.34,6.28,4.9
13.22,5.84,19.97,7.0,4.78
13.47,6.71,18.67,7.34,4.87
10.97,5.69,18.23,10.89,5.06
12.8,5.55,17.09,8.58,4.93
10.32,8.0,16.93,6.68,4.78
9.11,8.41,18.75,9.38,4.98
8.88,5.82,28.05,7.05,5.28
8.92,7.48,16.8,7.19,5.26
10.04,7.45,25.36,6.79,5.48
12.8,7.39,26.23,9.31,6.42
12.56,6.17,23.49,7.21,6.17
10.35,8.42,19.93,7.04,5.5
9.57,8.42,16.29,7.06,5.24
9.45,7.95,19.27,7.07,5.11
9.35,6.33,21.04,7.17,5.1
12.42,5.54,17.26,6.87,5.07
9.96,6.06,21.09,7.39,5.03
11.44,6.0,23.09,7.55,5.89
12.01,6.41,21.64,8.59,5.02
12.54,6.49,22.76,7.13,5.06
12.68,6.24,23.26,7.45,5.28
13.2,7.8,20.45,6.91,6.43
9.53,7.74,17.07,7.17,5.6
11.85,5.65,19.49,9.0,5.03
9.38,6.46,21.08,7.09,5.75
9.28,8.41,22.25,7.32,5.28
9.21,9.63,22.36,10.28,5.25
9.26,6.11,19.41,6.87,5.23
9.88,9.59,18.43,6.96,5.43
13.18,5.36,18.38,7.43,5.18
12.84,9.26,22.83,6.93,5.38
16.3,8.24,26.9,10.9,5.34
10.2,8.43,21.68,8.98,5.38
9.55,8.5,19.03,7.9,5.14
9.97,9.36,23.41,6.89,5.39
9.16,9.23,23.71,7.25,5.04
12.11,9.5,24.07,9.7,4.82
9.53,6.53,25.74,8.97,7.39
12.37,6.27,24.32,7.0,7.06
13.94,5.92,24.57,8.1,5.73
12.5,7.87,16.43,7.03,6.59
9.4,9.73,19.19,7.57,7.45
9.45,7.77,16.78,6.89,8.5
12.29,5.45,20.17,9.21,5.89
13.97,9.03,24.15,10.36,7.52
13.84,7.02,23.46,9.18,6.98
12.64,8.37,21.91,9.19,6.8
12.1,6.59,25.05,7.74,8.5
13.98,7.83,25.34,7.17,7.29
9.15,7.62,23.26,7.02,6.48
9.68,5.84,21.7,9.25,5.67
12.95,5.8,22.34,9.84,8.09
14.1,5.88,23.71,7.06,7.74
14.89,6.57,25.36,9.57,6.82
14.53,6.19,21.91,7.17,7.12
14.65,5.86,23.9,8.33,5.76
15.92,6.94,23.43,7.26,5.89
9.11,7.24,17.8,7.05,5.5
12.82,6.91,17.26,8.6,5.44
9.69,6.6,18.83,8.79,6.25
11.18,7.7,15.67,6.98,5.09
8.94,6.01,16.08,8.9,5.33
8.47,5.84,15.42,9.02,4.96
12.64,7.01,19.17,7.61,4.95
9.15,5.8,21.16,7.18,5.37
9.0,5.8,17.92,6.93,4.89
13.02,6.04,15.71,10.09,5.22
9.91,5.78,21.31,7.58,5.25
9.57,6.53,16.31,9.0,7.09
9.01,6.19,18.02,7.44,5.56
9.7,7.09,17.83,9.72,5.24
16.87,6.7,16.77,9.54,6.64
16.22,5.68,23.53,9.82,6.46
11.77,9.64,20.14,7.35,5.33
9.0,8.25,22.27,11.45,5.03
9.29,7.86,21.15,7.07,5.15
9.25,8.35,17.25,7.22,5.15
8.99,9.48,21.62,7.71,5.2
10.53,9.01,19.59,7.94,4.96
12.19,7.55,17.08,9.9,5.0
9.49,6.15,16.94,7.81,5.68
9.17,7.42,16.55,6.41,5.11
11.16,5.79,16.23,6.54,4.95
12.23,5.94,23.12,6.36,4.95
12.72,7.89,23.18,6.89,6.77
10.99,7.92,17.71,6.42,5.21
12.04,7.87,21.99,6.57,4.95
9.81,7.87,20.63,7.33,5.44
9.36,8.02,16.74,7.17,5.09
9.39,9.64,21.73,7.2,8.03
