P-521,p521_mlkem1024,mlkem1024
6658.27,31.58,1024.79
228.9,1081.82,11.7
18.95,28.7,217.22
2089.61,28.22,1214.04
3120.59,1267.17,8.92
221.52,1269.12,217.73
1246.17,2089.15,56283.19
1885.4,30038.64,1432.57
18.92,41.65,3317.46
18.68,2110.65,13.05
6587.12,27.1,629.82
18.99,4123.85,9.14
228.43,1078.2,5260.55
1070.16,27.1,629.54
842.25,27.23,9.06
19.38,237.18,8.9
443.12,1078.29,8.83
2733.84,1068.12,1226.64
19.58,2513.54,12.52
19.27,29.46,221.72
18.98,34.63,630.29
431.75,29.41,1267.39
19.16,1871.2,1067.15
18.45,30.78,629.34
18.68,28.31,13.04
18.73,27.19,1046.51
7466.35,4352.61,9.87
8681.49,41.26,1258.84
19.31,27.86,1268.45
1253.63,1063.25,9.53
20.62,26.63,1458.19
19.94,237.96,214.12
20.22,446.99,1221.91
1027.77,3905.15,2725.7
18.45,237.63,222.24
18.32,6694.72,1040.99
220.78,1294.01,8.61
221.8,445.48,8.66
19.03,29.1,1040.36
222.99,3129.73,1426.81
222.52,28.64,8.65
18.67,27.47,1031.0
1059.64,27.23,626.51
1075.85,239.59,5813.61
20.01,1238.07,13.0
3505.8,26.89,9.34
1866.19,27.26,12.82
18.19,1683.66,1277.85
224.48,1287.91,1063.97
18.37,36.4,1218.17
18.49,4990.57,8.66
221.93,654.27,9.22
1049.82,236.26,12.24
1068.24,28.17,1069.74
7223.45,1087.94,8.82
1077.41,27.58,221.83
226.7,3774.17,8.62
1030.1,1710.03,8.52
19.45,30.48,8.54
3095.15,27.99,12.94
18.73,238.93,5039.13
4613.59,644.65,2273.55
19.2,1486.16,3110.99
1255.61,3149.36,9.87
2292.11,5677.48,2494.28
1269.55,2106.24,1049.08
19.08,2724.71,218.36
18.51,1088.51,8.79
18.38,4149.61,9.22
1039.88,27.0,1479.77
18.53,236.72,1459.19
432.76,2701.92,12.16
1054.2,27.52,2252.3
430.76,26.61,3525.66
19.91,234.43,629.89
1262.03,1302.65,9.35
3317.81,1056.27,1029.83
1062.67,1897.66,9.57
7661.5,27.54,1265.31
18.46,8848.2,8.99
225.31,27.01,8.79
1285.94,233.05,12.06
221.89,27.13,1064.39
18.78,30.75,12.94
433.48,27.65,12.82
221.06,3125.33,8.87
1021.88,26.76,8.6
18.25,27.41,1260.2
224.71,6474.41,9.38
3366.25,31.46,219.62
1021.96,29.83,8.96
221.1,32.81,1046.44
222.16,1291.19,8.81
18.43,651.65,8.65
1034.59,27.62,8.53
20.04,32.98,1021.02
4610.23,29.62,8.82
22.96,1047.9,121041.42
24.88,27.04,1221.7
19.85,27.84,1269.72
24.86,644.29,1445.68
21.6,4324.7,9.06
226.69,27.33,12.18
21.88,6395.72,9.21
19.77,29.0,12.61
7625.51,38.11,1877.55
2681.93,650.92,1024.12
1289.03,27.12,13.72
428.52,1058.92,9.28
18.79,4150.07,3329.32
18.38,3329.44,220.46
1285.18,3733.33,2061.98
1061.58,652.88,8.93
3756.85,1893.59,1061.97
1022.82,5066.25,8.73
19.16,244.55,9.25
18.8,32.85,11.22
18.69,33.35,1429.95
428.68,2112.45,9.12
18.78,27.84,834.77
18.47,1859.68,221.82
3364.94,26.95,8.73
429.78,1052.07,8.69
221.38,233.26,8.7
18.36,1301.85,8.59
432.38,27.11,12.52
221.69,1455.64,9.02
21.79,28.11,8.96
1230.16,31.27,2691.51
1268.92,1485.23,218.94
222.16,28.22,8.55
3279.33,1076.48,11.97
4624.77,1656.44,1065.59
835.88,28.25,3763.0
19.13,3083.54,10.21
1664.0,27.42,2082.66
1230.01,235.78,4575.9
18.49,27.42,1217.64
18.44,27.47,1271.21
1069.46,27.14,27877.59
1493.05,27.36,12.69
25.38,647.45,12.08
1069.63,31.37,9.96
3308.37,2060.25,12.51
18.68,27.82,1244.96
225.18,27.08,6879.73
1078.63,1474.56,12.65
1645.17,7192.64,10.8
18.63,26.96,8.74
224.54,236.92,116010.22
19.11,29.32,8.87
18.96,29.67,8.94
1287.61,3087.34,1044.85
24.39,4636.12,8.94
19.34,31.25,9.25
19.19,37.12,9.49
1032.64,27.83,9.51
19.53,31.82,1267.56
18.35,1094.28,1266.37
2106.04,235.78,1884.22
220.38,7661.91,1025.23
19.08,2112.28,8.91
31448.17,3126.53,12.88
1289.04,234.69,2695.54
1064.62,1460.72,8.76
226.19,237.32,835.13
837.89,7178.35,8.71
18.39,27.27,1853.51
1049.32,3088.12,9.19
434.39,27.23,216.81
18.42,28.33,8.69
1465.24,1884.85,2298.54
227.71,238.03,221.07
23755.25,1237.68,1644.92
4341.75,5042.57,8693.95
19.0,1048.75,1650.07
18.09,1077.26,1016.85
1853.09,27.22,1218.41
1228.52,27.38,9.06
430.32,27.43,1459.46
19.21,28.83,9.03
224.16,27.0,1473.71
2716.87,1284.58,11.77
1082.62,27.53,1058.54
20.1,854.94,8.8
19.45,27.76,8.97
24.96,5390.59,8.68
18.79,38.33,1021.24
18.82,27.92,2673.95
18.98,28.21,1429.57
1081.19,7634.2,9.67
1493.2,31.43,8.9
1046.1,32.09,1448.71
1077.78,27.94,3125.59
19.44,1441.53,8.74
4364.52,28.29,8.59
1021.77,442.5,1457.74
3785.72,240.04,12.96
221.5,2713.16,12.51
224.65,28.15,1887.4
432.86,27.34,219.94
1082.24,241.4,1493.4
3126.35,2525.79,8.82
1283.83,26.76,1265.96
18.37,26.73,9.57
1665.0,29.23,1488.91
18.75,1268.24,3292.68
18.34,10977.03,6920.52
1029.0,1885.38,1270.13
1077.06,28.41,11.37
18.78,27.34,7630.63
235353.72,27.06,9.58
5409.07,243.27,224.46
221.57,1477.31,8.92
19.34,1092.09,5155.31
1496.53,28.51,8.75
221.41,3903.68,2083.28
221.67,1090.3,1013.89
18.92,1280.72,12.13
224.81,1064.47,221.03
220.26,4562.14,9.36
429.79,1046.56,836.54
1261.39,240.25,221.36
3317.45,645.36,1065.46
1270.01,42.95,11.91
18.39,36.33,1050.36
1034.26,1087.76,8.63
220.94,2108.06,1262.61
1038.34,28.05,13.59
18.57,6395.91,9.27
18.78,4857.28,9.62
1020.92,28.97,14.08
435.82,3125.03,9.8
221.27,26.96,7603.94
2062.12,26.76,8.93
4149.76,30.36,4831.28
1285.57,30.88,838.09
18.5,2968.28,10.35
1032.92,4405.02,215.73
18.35,26.71,221.99
224.63,1052.71,1838.39
1486.26,27.0,1025.2
1044.59,26.23,1013.5
