Handshake_ID,P-521_Time_ms,P-521_Bytes_TCP,P-521_Bytes_TLS,P-521_Bytes_Total,4,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_TCP,p521_mlkem1024_Bytes_TLS,p521_mlkem1024_Bytes_Total,9,mlkem1024_Time_ms,mlkem1024_Bytes_TCP,mlkem1024_Bytes_TLS,mlkem1024_Bytes_Total
1,19.52,412.0,1885.0,2297.0,,30.33,412.0,5011.0,5423.0,,9.07,412.0,4747.0,5159.0
2,19.75,412.0,1885.0,2297.0,,28.2,412.0,5012.0,5424.0,,8.58,412.0,4746.0,5158.0
3,18.61,412.0,1884.0,2296.0,,26.76,412.0,5013.0,5425.0,,8.87,412.0,4746.0,5158.0
4,19.03,412.0,1884.0,2296.0,,27.12,412.0,5012.0,5424.0,,8.86,412.0,4747.0,5159.0
5,18.81,412.0,1884.0,2296.0,,27.7,412.0,5013.0,5425.0,,8.74,412.0,4747.0,5159.0
6,25.83,412.0,1885.0,2297.0,,27.17,412.0,5012.0,5424.0,,9.12,412.0,4746.0,5158.0
7,21.01,412.0,1885.0,2297.0,,28.89,412.0,5012.0,5424.0,,9.1,412.0,4745.0,5157.0
8,18.86,412.0,1885.0,2297.0,,31.78,412.0,5012.0,5424.0,,8.82,412.0,4747.0,5159.0
9,18.75,412.0,1884.0,2296.0,,27.17,412.0,5011.0,5423.0,,8.88,412.0,4747.0,5159.0
10,25.41,412.0,1885.0,2297.0,,28.49,412.0,5012.0,5424.0,,8.77,412.0,4747.0,5159.0
11,18.81,412.0,1883.0,2295.0,,29.9,412.0,5013.0,5425.0,,9.5,412.0,4747.0,5159.0
12,19.47,412.0,1884.0,2296.0,,29.36,412.0,5013.0,5425.0,,11.85,412.0,4747.0,5159.0
13,19.61,412.0,1884.0,2296.0,,27.91,412.0,5013.0,5425.0,,8.78,412.0,4746.0,5158.0
14,18.54,412.0,1885.0,2297.0,,35.27,412.0,5012.0,5424.0,,10.1,412.0,4747.0,5159.0
15,3583.31,412.0,1885.0,2297.0,,30.27,412.0,5011.0,5423.0,,9.3,412.0,4747.0,5159.0
16,23.45,412.0,1885.0,2297.0,,28.12,412.0,5012.0,5424.0,,9.26,412.0,4746.0,5158.0
17,18.74,412.0,1885.0,2297.0,,27.28,412.0,5013.0,5425.0,,9.1,412.0,4745.0,5157.0
18,19.52,412.0,1884.0,2296.0,,27.84,412.0,5013.0,5425.0,,9.09,412.0,4747.0,5159.0
19,18.8,412.0,1884.0,2296.0,,28.46,412.0,5013.0,5425.0,,8.74,412.0,4745.0,5157.0
20,19.38,412.0,1883.0,2295.0,,33.34,2679.0,3564.0,6243.0,,9.03,412.0,4747.0,5159.0
21,18.58,412.0,1884.0,2296.0,,1078.75,626.0,5078.0,5704.0,,8.88,412.0,4747.0,5159.0
22,20.19,412.0,1884.0,2296.0,,27.38,412.0,5012.0,5424.0,,8.91,412.0,4747.0,5159.0
23,19.15,412.0,1885.0,2297.0,,234.52,2004.0,3565.0,5569.0,,8.85,412.0,4746.0,5158.0
24,19.09,412.0,1885.0,2297.0,,29.17,1087.0,5011.0,6098.0,,8.89,412.0,4746.0,5158.0
25,225.0,412.0,1885.0,2297.0,,27.72,412.0,5013.0,5425.0,,9.29,412.0,4745.0,5157.0
26,18.4,412.0,1884.0,2296.0,,2271.84,2152.0,3565.0,5717.0,,9.12,412.0,4747.0,5159.0
27,20.23,346.0,1885.0,2231.0,,1268.89,478.0,5079.0,5557.0,,9.97,412.0,4746.0,5158.0
28,2514.46,560.0,1885.0,2445.0,,445.61,478.0,5079.0,5557.0,,10.1,412.0,4746.0,5158.0
29,19.18,412.0,1885.0,2297.0,,643.88,7069.0,2335.0,9404.0,,8.88,412.0,4746.0,5158.0
30,1080.64,420.0,1884.0,2304.0,,30.26,2004.0,3565.0,5569.0,,8.91,412.0,4746.0,5158.0
31,837.44,412.0,1885.0,2297.0,,26.98,412.0,5012.0,5424.0,,8.84,412.0,4747.0,5159.0
32,19.17,412.0,1885.0,2297.0,,26.91,412.0,5013.0,5425.0,,12.68,412.0,4747.0,5159.0
33,1030.77,486.0,1885.0,2371.0,,234.76,1231.0,5079.0,6310.0,,8.79,412.0,4747.0,5159.0
34,221.38,2229.0,775.0,3004.0,,28.02,412.0,5012.0,5424.0,,9.14,412.0,4745.0,5157.0
35,431.82,412.0,1885.0,2297.0,,31.26,1165.0,5012.0,6177.0,,9.77,412.0,4747.0,5159.0
36,19.61,412.0,1884.0,2296.0,,1046.89,692.0,5078.0,5770.0,,9.32,412.0,4747.0,5159.0
37,222.26,2229.0,775.0,3004.0,,27.76,1165.0,5013.0,6178.0,,9.71,412.0,4747.0,5159.0
38,19.64,412.0,1884.0,2296.0,,4594.0,552.0,5079.0,5631.0,,14.49,2004.0,3299.0,5303.0
39,18.91,412.0,1884.0,2296.0,,233.12,478.0,5078.0,5556.0,,1068.34,552.0,4813.0,5365.0
40,19.1,412.0,1884.0,2296.0,,2741.2,2078.0,3565.0,5643.0,,217.62,2004.0,3299.0,5303.0
41,7219.97,996.0,1885.0,2881.0,,28.34,412.0,5012.0,5424.0,,11.93,1032.0,4746.0,5778.0
42,18.54,412.0,1885.0,2297.0,,452.74,478.0,5078.0,5556.0,,9.0,412.0,4747.0,5159.0
43,227.63,412.0,1885.0,2297.0,,446.28,1231.0,5079.0,6310.0,,4830.54,486.0,4813.0,5299.0
