Handshake_ID,P-521_Time_ms,P-521_Bytes_TCP,P-521_Bytes_TLS,P-521_Bytes_Total,4,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_TCP,p521_mlkem1024_Bytes_TLS,p521_mlkem1024_Bytes_Total,9,mlkem1024_Time_ms,mlkem1024_Bytes_TCP,mlkem1024_Bytes_TLS,mlkem1024_Bytes_Total
52,2088.35,560.0,1885.0,2445.0,,28.13,412.0,5013.0,5425.0,,8.74,412.0,4747.0,5159.0
53,19.89,412.0,1885.0,2297.0,,1070.3,692.0,3565.0,4257.0,,220.38,2004.0,2202.0,4206.0
54,18.0,346.0,1884.0,2230.0,,27.41,412.0,5012.0,5424.0,,9.09,412.0,4747.0,5159.0
55,226.19,412.0,1885.0,2297.0,,1858.59,692.0,3564.0,4256.0,,8.85,412.0,4747.0,5159.0
56,19.55,412.0,1884.0,2296.0,,1500.99,692.0,3565.0,4257.0,,9.29,412.0,4747.0,5159.0
57,18.31,412.0,1884.0,2296.0,,27.12,412.0,5013.0,5425.0,,8.84,412.0,4746.0,5158.0
58,18.11,346.0,1884.0,2230.0,,26.59,412.0,5012.0,5424.0,,8.72,412.0,4746.0,5158.0
59,1286.58,560.0,1884.0,2444.0,,29.92,2004.0,2335.0,4339.0,,8.9,346.0,4747.0,5093.0
60,18.37,412.0,1885.0,2297.0,,30.67,2004.0,2335.0,4339.0,,8.72,412.0,4747.0,5159.0
61,18.45,412.0,1884.0,2296.0,,27.21,412.0,5013.0,5425.0,,8.69,412.0,4747.0,5159.0
62,18.61,412.0,1885.0,2297.0,,35.22,412.0,5012.0,5424.0,,1240.64,2078.0,2202.0,4280.0
63,18.4,412.0,1885.0,2297.0,,1061.52,552.0,3565.0,4117.0,,8.88,412.0,4746.0,5158.0
64,17064.65,412.0,1885.0,2297.0,,30.08,412.0,5012.0,5424.0,,8.9,1032.0,4747.0,5779.0
65,1021.29,486.0,1885.0,2371.0,,42.67,2004.0,2335.0,4339.0,,8.8,412.0,4746.0,5158.0
66,18.35,412.0,1884.0,2296.0,,32.4,412.0,5013.0,5425.0,,8.88,412.0,4746.0,5158.0
67,18.15,412.0,1885.0,2297.0,,28.23,1165.0,5013.0,6178.0,,3303.03,3709.0,2202.0,5911.0
68,18.02,346.0,1883.0,2229.0,,1080.33,692.0,3565.0,4257.0,,8.69,412.0,4747.0,5159.0
69,1688.93,412.0,1884.0,2296.0,,26.77,1165.0,5012.0,6177.0,,8.72,412.0,4746.0,5158.0
70,18.28,346.0,1884.0,2230.0,,27.31,412.0,5013.0,5425.0,,8.88,412.0,4747.0,5159.0
71,22.02,412.0,1885.0,2297.0,,31.73,2004.0,2335.0,4339.0,,12.7,2004.0,2202.0,4206.0
72,18.48,412.0,1885.0,2297.0,,27.16,412.0,5012.0,5424.0,,8.73,412.0,4746.0,5158.0
73,18.16,346.0,1884.0,2230.0,,1046.29,552.0,3564.0,4116.0,,1028.07,692.0,3299.0,3991.0
74,221.0,412.0,1885.0,2297.0,,28.44,412.0,5013.0,5425.0,,8.82,412.0,4747.0,5159.0
75,18.43,412.0,1885.0,2297.0,,30.77,412.0,5011.0,5423.0,,8.69,412.0,4747.0,5159.0
76,18.38,412.0,1885.0,2297.0,,32.73,1165.0,5013.0,6178.0,,8.77,412.0,4747.0,5159.0
77,17.97,346.0,1885.0,2231.0,,28.35,412.0,5012.0,5424.0,,1429.64,692.0,3299.0,3991.0
78,18.0,412.0,1884.0,2296.0,,29.44,412.0,5013.0,5425.0,,13.24,2004.0,2202.0,4206.0
79,18.02,412.0,1885.0,2297.0,,29.85,412.0,5012.0,5424.0,,9.21,412.0,4747.0,5159.0
