Handshake_ID,P-384_Time_ms,P-384_Bytes_TCP,P-384_Bytes_TLS,P-384_Bytes_Total,4,x448_Time_ms,x448_Bytes_TCP,x448_Bytes_TLS,x448_Bytes_Total,9,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_TCP,p384_mlkem768_Bytes_TLS,p384_mlkem768_Bytes_Total,14,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_TCP,x448_mlkem768_Bytes_TLS,x448_mlkem768_Bytes_Total,19,mlkem768_Time_ms,mlkem768_Bytes_TCP,mlkem768_Bytes_TLS,mlkem768_Bytes_Total
72,9.62,412.0,1705.0,2117.0,,5.91,412.0,1623.0,2035.0,,16.13,412.0,3967.0,4379.0,,9.14,412.0,3887.0,4299.0,,618.61,478.0,3840.0,4318.0
73,9.64,412.0,1705.0,2117.0,,1061.26,626.0,1622.0,2248.0,,16.35,745.0,3968.0,4713.0,,7.72,412.0,3886.0,4298.0,,5.0,412.0,3775.0,4187.0
74,214.81,1083.0,1705.0,2788.0,,5.39,412.0,1623.0,2035.0,,1035.45,692.0,4035.0,4727.0,,1039.73,692.0,3951.0,4643.0,,4.66,412.0,3775.0,4187.0
75,9.4,412.0,1704.0,2116.0,,5.35,346.0,1622.0,1968.0,,17.89,412.0,3968.0,4380.0,,6.83,346.0,3885.0,4231.0,,5.02,412.0,3774.0,4186.0
76,216.07,2049.0,739.0,2788.0,,6.72,412.0,1620.0,2032.0,,222.34,2004.0,1915.0,3919.0,,8.68,412.0,3887.0,4299.0,,624.26,478.0,3840.0,4318.0
77,9.09,412.0,1704.0,2116.0,,6.82,346.0,1622.0,1968.0,,15.85,412.0,3969.0,4381.0,,6.87,412.0,3886.0,4298.0,,5.67,412.0,3774.0,4186.0
78,9.49,412.0,1704.0,2116.0,,4591.52,626.0,1621.0,2247.0,,838.43,478.0,4034.0,4512.0,,6.51,346.0,3886.0,4232.0,,618.85,2004.0,1818.0,3822.0
79,1030.6,626.0,1703.0,2329.0,,210.86,412.0,1623.0,2035.0,,16.01,412.0,3968.0,4380.0,,1063.44,692.0,3952.0,4644.0,,1031.65,692.0,3840.0,4532.0
80,9.52,346.0,1704.0,2050.0,,5.43,412.0,1622.0,2034.0,,16.55,412.0,3968.0,4380.0,,10.32,2004.0,1874.0,3878.0,,8.07,412.0,3774.0,4186.0
81,11.78,412.0,1704.0,2116.0,,7.22,346.0,1622.0,1968.0,,1031.19,692.0,4035.0,4727.0,,6.95,412.0,3886.0,4298.0,,1253.95,692.0,3840.0,4532.0
82,10.02,412.0,1705.0,2117.0,,1013.01,486.0,1623.0,2109.0,,16.85,412.0,3968.0,4380.0,,6.64,412.0,3887.0,4299.0,,5.17,412.0,3775.0,4187.0
83,1483.38,626.0,1705.0,2331.0,,210.75,412.0,1622.0,2034.0,,1050.18,692.0,4033.0,4725.0,,9.87,2859.0,1874.0,4733.0,,1046.67,552.0,3841.0,4393.0
84,11.7,412.0,1704.0,2116.0,,1252.77,626.0,1622.0,2248.0,,15.83,667.0,3968.0,4635.0,,9.61,2218.0,1874.0,4092.0,,211.45,478.0,3840.0,4318.0
85,8.96,412.0,1704.0,2116.0,,1060.88,626.0,1621.0,2247.0,,15.7,745.0,3967.0,4712.0,,1250.47,486.0,3952.0,4438.0,,214.77,2004.0,1818.0,3822.0
86,1066.87,626.0,1704.0,2330.0,,209.7,412.0,1622.0,2034.0,,15.97,412.0,3967.0,4379.0,,6.58,412.0,3886.0,4298.0,,5.1,412.0,3775.0,4187.0
87,10.31,412.0,1704.0,2116.0,,1046.85,486.0,1622.0,2108.0,,15.71,745.0,3969.0,4714.0,,6.56,412.0,3885.0,4297.0,,5.25,412.0,3775.0,4187.0
88,217.78,412.0,1704.0,2116.0,,5.4,346.0,1622.0,1968.0,,15.75,412.0,3967.0,4379.0,,10.75,2004.0,1874.0,3878.0,,1045.54,692.0,3840.0,4532.0
89,11.34,412.0,1704.0,2116.0,,5.57,412.0,1622.0,2034.0,,22.71,2337.0,1915.0,4252.0,,6.58,412.0,3885.0,4297.0,,4.96,346.0,3774.0,4120.0
90,9.46,412.0,1704.0,2116.0,,5.68,412.0,1621.0,2033.0,,16.23,745.0,3968.0,4713.0,,6.49,412.0,3886.0,4298.0,,4.83,346.0,3774.0,4120.0
91,1447.32,626.0,1703.0,2329.0,,5.95,412.0,1622.0,2034.0,,15.96,412.0,3969.0,4381.0,,6.65,412.0,3886.0,4298.0,,4.95,412.0,3774.0,4186.0
92,1251.55,626.0,1703.0,2329.0,,5.31,412.0,1622.0,2034.0,,223.65,478.0,4034.0,4512.0,,6.6,412.0,3886.0,4298.0,,5.21,412.0,3775.0,4187.0
93,831.92,412.0,1704.0,2116.0,,1056.97,626.0,1622.0,2248.0,,2091.85,626.0,4034.0,4660.0,,1273.61,552.0,3952.0,4504.0,,6.74,412.0,3774.0,4186.0
94,15.31,412.0,1704.0,2116.0,,5.18,412.0,1622.0,2034.0,,16.65,667.0,3968.0,4635.0,,1065.12,692.0,3952.0,4644.0,,1056.46,692.0,3840.0,4532.0
95,14.61,412.0,1704.0,2116.0,,5.13,412.0,1622.0,2034.0,,15.92,412.0,3968.0,4380.0,,6.62,412.0,3886.0,4298.0,,4.93,412.0,3775.0,4187.0
96,9.21,412.0,1704.0,2116.0,,5.27,412.0,1622.0,2034.0,,19.72,2004.0,1915.0,3919.0,,10.18,2004.0,1874.0,3878.0,,1058.85,626.0,3841.0,4467.0
97,8.83,412.0,1704.0,2116.0,,2264.34,494.0,1622.0,2116.0,,225.88,2313.0,4034.0,6347.0,,1040.31,692.0,3951.0,4643.0,,5.1,346.0,3774.0,4120.0
