P-521,p521_mlkem1024,mlkem1024
7.63,14.66,4.29
3004.93,14.03,5.73
1005.73,1172.57,4.57
7.63,1016.95,5.97
6.1,14.36,6.25
9.1,14.69,4.27
6.38,13.85,6.21
1006.14,14.22,1011.13
6.14,14.15,4.3
7.77,1096.09,4.46
7.93,14.25,1011.31
6.12,16.28,5.68
5.95,1014.68,4.24
8.44,14.33,4.14
1007.45,17.97,4.61
6.03,1039.4,4.46
6.11,13.77,5.94
1005.51,3044.56,4.24
6.63,16.16,4.5
6.25,22.09,4.38
10.65,15.9,5.32
6.07,15.51,4.59
7.23,14.99,4.33
1006.34,14.53,4.59
12.23,15.04,4.14
7.29,15.32,4.39
7.01,15.15,4.66
6.13,14.54,4.37
6.75,15.64,5.01
1007.8,14.99,4.53
8.66,1043.28,4.72
8.79,15.78,4.49
1008.14,19.15,3031.32
6.29,18.35,4.22
7.29,21.21,4.09
6.82,14.31,4.16
8.59,13.92,4.18
8.12,14.49,4.21
7.82,19.48,5.11
1006.91,14.55,4.31
7.55,14.88,6.16
6.29,15.48,4.7
6.51,14.11,4.21
9.95,21.62,6.07
1006.82,15.87,4.58
,18.43,4.78
3004.62,15.24,4.26
7.38,16.4,4.25
6.21,19.23,4.36
8.39,14.03,4.22
1008.59,14.79,4.29
1006.16,13.92,5.72
6.68,14.42,4.99
6.85,18.37,4.27
7.06,1016.67,4.98
6.89,1016.23,5.29
6.46,15.21,1135.74
6.41,13.88,4.88
6.66,1040.17,1014.06
6.77,1209.93,4.49
6.22,15.13,4.18
6.8,14.2,4.12
9.99,14.17,4.16
6.44,15.86,4.38
6.72,14.96,1012.72
7.79,1016.12,4.28
9.73,15.02,5.88
6.58,16.98,4.27
8.73,18.81,4.53
5.99,18.5,4.24
8.92,16.38,3019.41
6.28,17.04,5.71
6.0,15.55,4.9
6.05,14.36,4.4
6.21,14.95,4.89
8.31,14.47,4.34
6.96,1038.51,4.18
6.39,1018.2,4.12
6.09,16.76,4.14
6.35,14.1,4.64
6.09,13.8,4.4
6.01,14.06,1012.39
6.11,1015.17,1178.65
8.51,14.81,5.01
6.18,18.14,4.62
6.41,14.84,1009.04
6.04,16.54,1003.87
6.49,14.85,4.42
6.32,7021.58,5.22
1005.38,21.76,4.65
6.01,15.37,5.9
6.06,20.35,5.99
6.19,15.1,4.75
1006.17,14.94,4.28
3004.48,16.57,4.92
6.02,1015.82,5.78
5.76,16.79,4.34
5.94,13.86,5.04
1006.01,1017.18,5.88
6.56,1038.14,5.33
8.31,15.91,6.13
6.37,14.56,1013.06
5.96,17.6,4.32
5.86,1040.34,4.68
5.72,14.69,4.15
5.89,15.25,5.05
5.85,15.66,6.48
3004.15,22.1,5.83
6.14,17.46,1031.71
6.57,15.12,5.33
7.07,15.82,5.51
6.52,25.22,4.71
6.47,1018.16,6.08
6.0,14.18,4.14
7.63,14.01,1008.24
6.02,15.22,4.87
7.14,15.01,1017.23
9.43,15.65,4.38
7.45,1016.18,1048.98
9.07,1039.25,3003.6
6.34,21.26,4.44
3004.91,18.35,4.29
1005.66,1016.87,1031.59
5.76,3013.59,2101.17
5.96,14.19,6.18
5.91,3052.16,4.16
5.8,3015.6,4.18
6.46,14.05,4.72
1005.57,14.71,4.27
5.75,14.2,1010.85
3004.77,14.46,4.31
5.95,15.43,5.61
5.96,15.11,4.3
5.92,1052.57,4.26
5.97,15.51,6.88
6.5,15.29,4.41
5.98,1022.95,5.17
5.94,13.88,4.07
7.28,13.99,5.86
6.99,13.77,4.48
5.87,14.17,4.27
5.92,14.37,4.21
6.19,1016.72,1012.54
5.79,1017.5,4.97
6.43,13.84,4.71
7.14,13.63,6.12
6.29,14.35,4.24
1008.63,14.15,1008.93
5.85,14.36,1011.91
6.02,1039.24,5.61
5.87,18.63,4.32
5.74,14.46,5.56
5.96,15.06,4.66
6.69,17.39,5.59
5.77,1016.42,4.81
5.95,14.37,1011.09
6.89,1037.03,6.56
5.75,14.79,5.79
5.73,14.03,5.1
1005.86,1016.8,6.44
5.92,14.55,5.38
5.7,14.67,5.84
7.21,14.29,1063.79
5.81,15.58,5.62
5.83,16.21,4.48
1005.31,14.69,4.44
6.03,14.46,4.24
6.21,14.88,4.43
6.3,15.18,5.25
6.09,13.96,4.57
7.21,15.67,4.43
8.32,15.32,4.41
6.08,1205.86,5.94
5.86,16.29,5.92
5.85,19.42,1014.83
5.86,14.74,4.33
5.85,17.43,4.29
5.99,3042.68,4.29
5.8,19.23,6.04
6.12,15.2,4.44
6.19,16.55,4.31
5.78,18.48,1015.29
5.88,1040.58,3003.09
1006.39,18.68,4.38
3004.6,1125.41,6.83
5.99,1038.57,5.9
5.72,3052.56,6.04
5.94,14.17,1012.54
6.17,14.27,5.18
6.0,19.65,1013.11
6.37,15.29,1008.79
6.19,17.07,4.36
3004.25,1039.0,4.14
5.86,14.8,4.68
1005.57,22.28,4.18
7000.87,1029.46,4.38
1006.13,14.35,4.89
6.04,14.46,4.39
6.78,18.73,1012.72
6.81,1038.62,3.89
6.09,21.95,3.95
6.69,1042.57,4.26
3004.61,1039.08,4.32
6.85,1039.16,4.56
6.1,14.96,6.0
6.09,1015.35,4.57
5.8,14.57,4.18
7.74,3017.8,6.27
5.92,15.65,4.21
7.53,14.38,4.28
6.09,14.62,5.97
5.81,14.39,3004.28
5.77,22.53,4.08
5.79,14.79,3.9
6.27,1070.79,1013.37
3006.74,14.18,3.88
1006.14,17.14,4.12
5.9,14.8,4.24
5.9,21.76,4.05
6.34,14.76,1026.09
5.92,14.36,4.0
6.3,14.09,1010.02
3005.26,18.17,4.07
7.62,1015.44,3.94
6.31,1022.42,3.93
6.08,14.98,3.96
6.11,14.47,1010.8
7.06,15.7,4.08
6.04,1045.96,1010.7
6.12,17.58,6.01
5.86,14.56,3.91
6.43,14.0,3.99
5.91,14.1,3.96
6.07,14.3,3.92
3006.07,18.88,3.93
6.03,21.54,3.99
6.14,14.27,4.87
5.78,14.82,3.94
6.73,1039.17,3.92
6.92,17.44,3.91
1006.2,14.74,3.98
6.03,14.23,4.08
5.84,22.23,4.39
6.08,14.2,4.26
5.85,1094.72,4.4
6.68,14.99,4.27
