Protocol,Level,Delay_ms,KEM,Outliers,Total,PctOutliers
TLS,5,1,p521_mlkem1024,41,500,8.2
TLS,5,5,P-521,44,500,8.8
TLS,5,5,mlkem1024,46,500,9.2
TLS,5,5,p521_mlkem1024,54,500,10.8
TLS,5,10,P-521,36,500,7.2
TLS,5,10,mlkem1024,26,500,5.2
TLS,5,10,p521_mlkem1024,43,500,8.6
TLS,5,20,P-521,55,500,11.0
TLS,5,20,mlkem1024,53,500,10.6
TLS,5,20,p521_mlkem1024,55,500,11.0
