Protocol,Level,Delay_ms,KEM,Mean,Std,Count,Min,Max,Median,IdealMean,PctIncrease
QUIC,3,10,x448_mlkem768,28.25612,1.3567084658550057,500,27.09,50.83,27.805,7.2932,287.4310316459168
QUIC,3,20,x448_mlkem768,47.829800000000006,2.1497038897548775,500,46.92,92.33,47.47,7.2932,555.8136346185489
QUIC,5,0,P-521,6.332859999999999,0.8138498162725685,500,5.6,10.25,6.055,6.332859999999999,0.0
QUIC,5,1,P-521,8.40052,0.7077898434740706,500,7.7,12.65,8.17,6.332859999999999,32.64970329361459
QUIC,5,5,P-521,16.9237,0.9929019178332111,500,15.93,27.67,16.55,6.332859999999999,167.23628818574866
QUIC,5,10,P-521,26.58388,1.3014715525143106,500,25.8,50.1,26.27,6.332859999999999,319.7768464801054
QUIC,5,20,P-521,46.88232,1.988217955576743,500,45.92,87.76,46.56,6.332859999999999,640.3024857647257
QUIC,5,0,mlkem1024,4.67002,0.6827201573312838,500,3.84,6.8,4.34,4.67002,0.0
QUIC,5,1,mlkem1024,6.3035,0.4684588106916439,500,5.81,10.95,6.18,4.67002,34.97800865949181
QUIC,5,5,mlkem1024,14.41944,0.6883811616011107,500,13.85,25.69,14.25,4.67002,208.76612948124423
QUIC,5,10,mlkem1024,24.76272,1.0951590515977998,500,23.99,45.82,24.575,4.67002,430.24869272508465
QUIC,5,20,mlkem1024,45.20082,1.9302516079880034,500,44.16,85.94,44.87,4.67002,867.8934993854416
QUIC,5,0,p521_mlkem1024,14.98968,1.7789262646073396,500,13.57,22.86,14.455,14.98968,0.0
QUIC,5,1,p521_mlkem1024,17.44836,2.1251650202104893,500,15.6,32.06,16.795,14.98968,16.402484909617822
QUIC,5,5,p521_mlkem1024,26.613439999999997,2.3838785876468784,500,24.34,40.31,25.395,14.98968,77.54508435136705
QUIC,5,10,p521_mlkem1024,35.29086,2.1706712989709787,500,33.87,71.29,34.7,14.98968,135.43437885265064
QUIC,5,20,p521_mlkem1024,55.39576,2.59842121451008,500,54.07,106.47,54.82,14.98968,269.5593234812218
TLS,1,0,P-256,2.4871999999999996,0.3848370552821499,500,1.74,5.32,2.41,2.4871999999999996,0.0
TLS,1,1,P-256,5.91836,0.2713443677909383,500,5.54,8.38,5.86,2.4871999999999996,137.95271791572856
TLS,1,5,P-256,22.18912,0.5552201043988381,500,21.71,32.77,22.14,2.4871999999999996,792.132518494693
TLS,1,10,P-256,49.38834,160.292622203613,500,41.77,3626.41,42.17,2.4871999999999996,1885.7003859761985
TLS,1,20,P-256,89.88746,160.2498810936516,500,82.27,3665.78,82.56,2.4871999999999996,3514.0020907044077
TLS,1,0,mlkem512,2.48776,0.3572739449546902,500,1.78,3.72,2.4,2.48776,0.0
TLS,1,1,mlkem512,13.28896,160.36041492296962,500,5.69,3591.88,6.08,2.48776,434.1737145062224
TLS,1,5,mlkem512,22.5397,0.524833125497278,500,21.89,33.04,22.46,2.48776,806.02389298003
TLS,1,10,mlkem512,49.640159999999995,160.2554945449236,500,41.94,3625.83,42.38,2.48776,1895.3757597195868
TLS,1,20,mlkem512,97.14036,226.4110646418477,500,82.35,3667.02,82.67,2.48776,3804.731967713927
TLS,1,0,p256_mlkem512,9.35764,1.3663215212382467,500,7.16,14.16,8.93,9.35764,0.0
TLS,1,1,p256_mlkem512,12.17262,0.910735864688802,500,11.12,16.5,11.84,9.35764,30.082157467053662
TLS,1,5,p256_mlkem512,28.63094,0.9257079381605953,500,27.38,41.23,28.39,9.35764,205.9632556926746
TLS,1,10,p256_mlkem512,55.31448,160.27881134029823,500,47.45,3632.0,48.01,9.35764,491.1157086615856
TLS,1,20,p256_mlkem512,103.03989999999999,226.45427761358127,500,87.94,3672.91,88.475,9.35764,1001.1312681402574
TLS,1,0,x25519,2.19978,0.3568125305590146,500,1.54,4.34,2.135,2.19978,0.0
TLS,1,1,x25519,5.704020000000001,0.1894598365335478,500,5.51,8.31,5.67,2.19978,159.29956632026844
TLS,1,5,x25519,22.22408,0.5571302737096303,500,21.65,32.96,22.14,2.19978,910.2864831937738
TLS,1,10,x25519,42.0619,0.9324436134074643,500,41.72,62.56,42.0,2.19978,1812.0957550300484
TLS,1,20,x25519,89.60486,160.27984691918476,500,82.09,3666.17,82.32,2.19978,3973.3555173699187
TLS,1,0,x25519_mlkem512,2.50066,0.4345579888707408,500,2.01,4.6,2.37,2.50066,0.0
TLS,1,1,x25519_mlkem512,6.55318,0.31382456774229367,500,6.06,9.28,6.47,2.50066,162.05801668359555
TLS,1,5,x25519_mlkem512,22.4791,0.6062071958733718,500,22.03,34.19,22.37,2.50066,798.9266833555942
TLS,1,10,x25519_mlkem512,49.75022,160.28053763836363,500,42.15,3626.5,42.51,2.50066,1889.4835763358476
TLS,1,20,x25519_mlkem512,90.20542,160.26600286952672,500,82.49,3666.45,82.91,2.50066,3507.2644821767058
TLS,3,0,P-384,11.1215,1.963124771311154,500,8.38,17.59,10.485,11.1215,0.0
TLS,3,1,P-384,12.98782,0.936087799480729,500,12.29,17.2,12.74,11.1215,16.78118958773547
TLS,3,5,P-384,29.63204,1.0899321734334568,500,28.54,40.61,29.23,11.1215,166.43923931124397
TLS,3,10,P-384,56.44446,160.23999132660077,500,48.52,3632.25,49.06,11.1215,407.52560356067085
TLS,3,20,P-384,104.1466,226.4302800614296,500,88.82,3673.55,89.44,11.1215,836.443825023603
TLS,3,0,mlkem768,5.7140200000000005,0.9349875094811545,500,4.6,9.57,5.35,5.7140200000000005,0.0
TLS,3,1,mlkem768,9.022459999999999,0.5856310064806189,500,8.53,12.29,8.83,5.7140200000000005,57.90039236824509
