Handshake_ID,P-521_Time_ms,P-521_Bytes_Total,2,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,5,mlkem1024_Time_ms,mlkem1024_Bytes_Total
100,6.48,3963.0,,14.72,6736.0,,5.7,11943.0
101,1007.16,3963.0,,22.23,6736.0,,4.0,6603.0
102,9.61,3963.0,,14.48,6735.0,,6.09,6603.0
103,7.76,3963.0,,20.88,6735.0,,5.02,6602.0
104,7.33,6664.0,,21.4,6736.0,,4.43,6603.0
105,8.51,3963.0,,22.71,6735.0,,6.25,6602.0
106,9.02,3963.0,,15.01,17467.0,,5.03,6601.0
107,7.91,3963.0,,19.33,6736.0,,4.23,6603.0
108,6.77,3963.0,,22.5,6736.0,,4.57,6603.0
109,8.48,3963.0,,18.28,6736.0,,4.27,6601.0
110,6.37,3963.0,,17.49,6736.0,,5.97,6603.0
111,6.61,3963.0,,14.61,6735.0,,4.13,6603.0
112,10.32,5225.0,,1021.77,6735.0,,4.79,6603.0
113,8.15,6664.0,,19.08,6735.0,,5.24,6603.0
114,6.83,3963.0,,14.91,6736.0,,4.91,6602.0
115,9.0,3963.0,,18.89,6734.0,,4.46,6603.0
116,8.38,3963.0,,15.76,6736.0,,6.2,6603.0
117,6.65,3963.0,,15.58,6736.0,,5.31,6603.0
118,8.07,3963.0,,18.59,6736.0,,5.04,6603.0
119,6.82,3963.0,,15.4,6735.0,,5.07,6603.0
120,1006.53,3963.0,,14.51,6736.0,,4.23,6601.0
121,6.25,3963.0,,16.79,6735.0,,4.27,6602.0
122,10.18,3963.0,,18.55,6736.0,,4.42,11944.0
123,8.18,3963.0,,16.56,6736.0,,4.34,6603.0
124,10.52,3963.0,,14.69,6736.0,,5.79,6602.0
125,6.18,3963.0,,14.65,6736.0,,4.39,6602.0
126,6.18,3963.0,,14.65,6736.0,,5.04,6602.0
127,7.36,3963.0,,21.09,6736.0,,4.25,16204.0
128,6.4,3963.0,,14.2,6736.0,,4.22,6603.0
129,6.26,3963.0,,14.74,6736.0,,4.29,6603.0
130,8.03,3963.0,,14.49,6736.0,,4.46,6602.0
131,9.67,3963.0,,14.73,6735.0,,4.38,6603.0
132,8.74,3963.0,,18.79,6736.0,,4.51,6602.0
133,6.24,3963.0,,16.98,12210.0,,4.29,6603.0
134,6.58,3963.0,,21.34,6735.0,,1010.95,6603.0
135,6.73,3963.0,,14.44,6735.0,,4.44,6602.0
136,10.02,3963.0,,22.45,6735.0,,4.56,6602.0
137,6.69,3963.0,,14.88,17467.0,,4.43,6602.0
138,6.26,3963.0,,17.84,6736.0,,4.3,6603.0
139,6.33,3963.0,,14.99,6736.0,,6.04,6601.0
140,6.2,5225.0,,17.48,6734.0,,3.99,16205.0
141,6.08,3963.0,,14.87,6735.0,,4.17,6603.0
142,6.49,3963.0,,14.89,6735.0,,4.39,6603.0
143,7.32,3963.0,,14.72,6736.0,,4.38,6602.0
144,6.21,3963.0,,1016.74,6736.0,,4.26,6602.0
145,6.26,3963.0,,17.03,6734.0,,4.09,6603.0
146,6.15,3963.0,,15.35,6736.0,,4.1,6603.0
147,6.18,3963.0,,22.05,17467.0,,1014.7,6603.0
148,6.17,3963.0,,17.02,6735.0,,4.87,6602.0
149,1007.26,3963.0,,16.62,6735.0,,6.18,6602.0
150,8.01,3963.0,,14.49,6736.0,,4.22,6603.0
151,6.82,3963.0,,18.49,6736.0,,4.41,6603.0
152,7.91,3963.0,,16.62,6736.0,,4.7,6601.0
153,6.06,6664.0,,20.62,6736.0,,4.45,6602.0
154,6.84,3963.0,,1018.14,6736.0,,4.43,6602.0
155,8.24,3963.0,,15.79,6736.0,,4.4,21546.0
156,9.98,3963.0,,16.55,11067.0,,4.24,6601.0
157,9.4,3963.0,,14.43,6736.0,,4.43,6603.0
158,6.69,3963.0,,19.85,6736.0,,4.62,6602.0
159,8.22,3963.0,,14.85,6736.0,,4.44,6603.0
160,6.29,3963.0,,14.55,6735.0,,4.76,6603.0
161,6.22,3963.0,,22.84,6736.0,,4.46,6602.0
162,6.55,3963.0,,14.69,6734.0,,1013.11,6603.0
163,7.22,3963.0,,1039.93,6736.0,,5.26,6603.0
164,8.46,6487.0,,15.16,6735.0,,4.79,6602.0
165,8.02,5225.0,,18.15,12209.0,,6.67,6603.0
166,6.38,3963.0,,20.67,6736.0,,4.07,6603.0
167,6.49,3963.0,,14.63,6735.0,,4.79,6603.0
168,8.45,7926.0,,18.02,6735.0,,5.54,6603.0
169,6.75,3963.0,,18.51,6736.0,,4.27,6603.0
170,7.19,3963.0,,22.88,6734.0,,4.6,6602.0
