P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
8.38,8.31,16.5,9.28,9.09
5.77,5.69,11.68,6.43,5.99
5.8,5.83,11.83,6.3,6.11
5.81,5.55,11.63,6.37,6.05
5.89,5.52,11.59,6.41,6.71
5.82,5.54,12.04,6.52,6.22
5.77,5.75,11.65,6.33,6.21
5.91,5.74,11.7,6.78,7.53
5.87,5.64,11.81,6.38,6.51
5.78,5.7,11.87,6.93,6.45
5.74,5.69,15.16,6.41,6.58
5.88,5.68,11.65,6.73,6.39
5.8,5.6,11.46,6.38,6.46
5.79,5.54,11.49,6.28,6.41
5.83,5.61,12.94,6.35,6.21
5.78,5.55,11.79,6.37,6.23
5.83,5.54,11.59,6.15,6.21
5.85,5.55,11.59,6.29,6.1
5.84,5.54,11.48,6.19,6.44
5.8,5.54,11.83,6.06,6.06
5.76,5.81,11.61,6.17,6.06
5.72,5.7,14.94,6.2,5.97
5.78,5.67,11.47,6.33,6.04
5.81,5.66,11.71,6.2,6.18
5.79,5.66,14.44,6.3,6.25
5.88,5.66,11.84,6.24,6.24
5.8,5.69,11.65,6.19,6.21
5.74,5.55,11.62,6.15,6.18
5.68,5.64,11.34,6.12,6.2
5.71,5.62,11.76,6.09,6.35
5.7,5.94,11.67,6.16,6.13
5.7,5.64,11.65,6.2,6.21
5.66,5.64,11.36,6.4,6.18
5.84,5.53,13.0,6.41,6.16
5.71,5.57,12.44,6.36,6.25
5.82,5.71,15.18,6.24,6.19
5.76,5.63,11.54,6.23,6.17
5.75,5.8,11.38,6.21,6.27
5.76,5.78,11.68,6.31,3591.88
5.87,5.65,11.7,6.45,6.05
5.78,5.83,11.63,7.2,6.34
5.99,5.7,11.66,6.5,6.43
5.83,5.69,11.69,6.67,6.48
5.86,6.46,11.42,6.28,5.97
5.87,6.3,12.22,6.18,5.89
5.9,5.61,11.69,7.1,5.77
5.85,5.57,12.55,6.37,5.81
5.85,6.2,11.78,6.27,5.69
5.95,5.79,11.73,6.13,5.77
5.93,5.59,11.7,6.16,5.79
5.85,5.63,11.88,6.12,5.76
5.89,5.71,11.71,6.72,5.96
5.86,6.3,11.81,6.33,6.01
5.75,5.61,12.46,6.28,6.01
5.96,5.58,12.11,6.3,5.91
5.99,5.64,12.24,6.74,5.82
6.03,5.63,12.1,6.57,5.82
6.21,5.75,11.69,6.67,5.79
6.02,5.67,11.6,6.42,5.93
5.87,5.81,11.86,7.29,6.28
6.16,5.88,11.91,6.44,6.23
5.89,5.71,12.55,6.52,6.07
5.99,5.66,11.89,6.49,6.13
5.85,5.69,12.34,6.44,6.04
5.89,5.63,11.88,6.65,6.23
5.83,5.69,12.2,6.6,6.09
5.87,5.62,11.73,6.42,5.92
6.04,5.77,11.55,7.28,5.92
5.96,5.71,15.1,6.75,5.85
5.91,5.85,11.63,6.6,5.75
5.93,6.05,11.83,6.54,5.79
5.94,5.66,11.64,6.37,5.78
6.12,5.71,11.46,6.5,5.77
6.21,5.7,11.76,6.47,5.91
5.96,5.75,11.9,6.49,5.86
5.99,5.83,11.52,6.52,6.17
5.99,5.67,11.91,6.28,6.29
6.11,5.7,11.59,6.28,6.12
6.44,5.82,11.72,6.14,6.13
5.96,5.95,12.21,6.24,6.07
5.92,5.86,11.68,6.23,5.84
6.55,6.33,11.44,6.25,5.82
5.93,5.81,11.68,6.3,6.03
5.94,6.49,11.67,6.63,6.13
5.85,5.67,11.41,7.14,5.95
5.71,5.69,11.56,6.41,5.82
5.64,6.42,12.18,6.37,5.73
5.72,5.73,13.85,6.32,5.91
5.71,6.31,11.54,6.31,5.74
5.67,5.68,11.39,6.42,5.85
5.83,5.78,11.2,6.45,6.02
5.7,5.66,11.15,6.67,5.96
5.74,5.69,11.18,6.79,5.84
5.73,5.64,11.84,6.48,5.98
5.72,5.71,11.5,6.59,6.01
5.78,5.67,11.43,6.35,5.97
5.79,5.69,11.59,6.54,5.96
5.76,5.73,11.4,6.68,6.63
5.62,5.75,11.12,7.47,5.92
6.59,5.71,11.72,6.62,5.97
5.92,5.72,11.3,6.6,6.0
5.89,5.73,11.58,6.8,5.87
5.99,5.67,11.45,6.36,5.81
6.13,5.58,11.7,6.69,5.78
6.02,5.63,11.62,6.43,6.53
6.0,5.65,13.87,6.32,6.26
6.06,5.64,11.74,6.49,5.93
5.93,5.7,14.1,7.02,6.0
5.91,5.68,11.78,6.35,5.94
5.84,5.66,13.74,6.26,5.98
6.03,5.71,12.86,6.47,6.23
5.99,5.57,11.58,6.3,6.17
5.99,5.51,11.7,6.99,5.99
5.87,5.55,11.4,6.35,6.0
5.88,5.68,11.61,6.33,6.35
6.11,5.75,11.43,6.38,6.16
6.01,5.71,11.43,6.58,6.22
6.52,5.72,11.73,7.31,6.09
5.83,6.4,11.6,6.39,5.99
5.86,5.7,11.46,6.37,5.99
5.92,5.6,11.5,6.3,6.05
5.98,5.75,11.37,6.29,6.1
6.26,5.67,11.74,6.5,6.01
5.88,5.68,11.88,6.37,5.9
5.93,5.72,11.83,6.44,6.71
5.82,5.73,11.89,6.82,5.9
5.79,5.61,11.64,6.48,5.78
5.75,5.65,11.5,6.56,6.14
5.84,5.6,11.47,6.55,6.05
5.78,5.6,11.67,7.32,6.03
5.86,5.63,12.61,6.36,6.06
5.77,5.63,11.71,6.46,5.9
5.85,5.64,12.16,6.51,6.08
5.85,6.13,12.53,6.27,6.07
5.74,5.92,11.98,6.53,5.85
5.83,5.82,11.79,6.44,6.14
5.8,5.67,11.67,6.52,6.09
5.82,5.8,11.57,6.57,6.09
5.92,5.76,11.7,6.35,6.19
5.89,5.79,11.49,6.6,6.25
5.93,5.61,11.61,6.34,6.09
5.84,5.59,11.7,6.4,6.12
6.0,5.68,11.62,6.46,6.2
6.91,5.56,11.56,6.56,6.42
5.86,5.63,11.74,6.86,6.17
6.0,5.62,11.81,6.84,6.11
5.83,5.55,11.76,6.63,6.31
6.06,5.7,11.8,6.42,6.12
5.88,5.63,12.05,6.76,5.9
6.84,5.6,11.76,6.63,5.94
6.01,5.6,11.71,6.79,6.08
5.87,5.53,11.76,7.13,6.09
5.73,5.62,12.09,6.8,5.99
5.88,5.66,11.98,6.85,6.48
5.69,5.63,11.82,6.48,6.11
5.62,5.59,11.9,6.5,5.93
5.84,5.62,12.0,7.28,5.98
5.87,5.69,12.18,6.31,5.77
5.83,5.64,12.35,6.34,6.08
5.92,5.68,11.52,6.4,5.97
5.92,5.6,11.6,6.54,6.08
5.81,5.67,12.46,6.46,5.93
6.0,5.59,12.9,7.05,5.98
5.93,5.62,11.43,6.9,5.91
6.17,5.68,11.46,6.41,6.09
5.91,5.6,11.54,6.36,5.94
6.01,5.55,11.66,6.4,5.94
6.14,5.64,13.15,7.31,5.88
6.48,5.57,11.68,6.55,5.74
6.16,5.65,14.08,6.94,6.06
6.35,5.56,11.83,7.46,5.79
6.21,6.26,11.68,6.78,6.0
6.03,5.65,11.92,6.9,5.86
6.11,5.66,11.99,6.71,5.77
5.84,5.57,12.04,7.2,5.85
5.9,5.69,11.67,6.61,5.81
7.29,5.6,11.27,6.42,5.9
6.29,5.72,11.56,6.68,5.88
7.56,5.65,11.7,6.76,5.8
6.48,5.73,11.59,6.9,5.77
6.86,5.54,11.66,6.64,5.78
5.98,5.7,11.71,6.99,6.08
6.24,5.67,11.48,7.0,6.1
6.02,5.91,13.77,6.63,6.07
6.35,5.64,11.46,6.76,5.98
6.16,5.64,13.23,7.68,5.99
5.95,5.63,13.69,6.57,6.06
5.73,5.61,11.39,6.55,5.88
5.78,5.53,11.66,6.56,5.88
5.65,5.63,11.66,7.06,5.91
5.86,5.55,11.7,6.44,6.26
5.7,5.6,11.92,6.27,5.75
5.74,5.77,11.77,6.42,6.0
5.87,5.75,11.91,6.92,5.73
5.69,5.73,11.93,6.3,6.0
5.65,5.72,14.19,6.36,6.2
5.61,5.62,12.02,6.64,6.18
5.66,5.57,12.13,6.34,6.02
5.68,5.61,11.91,6.28,6.22
6.52,5.62,11.9,6.41,6.08
5.71,5.63,12.73,6.48,5.94
5.69,5.68,11.98,6.51,5.97
5.75,5.63,12.63,6.5,6.08
5.66,5.52,12.02,6.31,6.31
5.8,5.7,12.01,6.84,7.0
5.68,5.59,11.86,6.31,6.01
5.72,5.64,11.51,6.45,6.09
5.86,5.68,11.84,6.37,6.09
5.91,5.61,11.47,6.61,6.23
5.67,5.6,11.49,6.92,5.99
5.69,5.55,11.53,6.34,6.12
5.71,5.66,14.29,6.55,6.07
5.65,5.68,11.57,6.32,6.21
5.86,5.67,12.09,6.39,5.99
5.67,5.63,11.85,6.5,5.88
5.61,5.6,11.9,6.33,6.6
5.66,5.68,11.97,6.45,6.13
5.62,5.63,11.96,7.55,6.24
5.64,5.57,12.23,6.39,6.96
5.68,5.53,12.26,6.48,6.02
5.71,5.58,11.97,6.66,5.9
5.68,5.56,11.98,6.38,6.24
5.69,5.66,11.72,6.43,6.96
5.9,5.6,11.96,6.66,6.17
5.76,5.57,11.65,7.25,6.61
5.76,5.78,11.75,7.12,7.0
5.88,5.58,13.85,6.72,6.79
5.76,5.53,11.63,7.52,6.08
5.88,5.53,12.16,7.29,6.89
5.96,5.83,11.73,6.69,6.12
5.92,5.82,11.55,6.9,6.13
5.86,5.79,11.43,6.7,6.25
5.85,5.68,11.4,7.24,6.15
5.78,5.75,11.37,6.84,6.12
6.0,5.68,11.7,6.76,6.27
5.99,5.59,11.66,6.96,6.24
6.07,5.7,11.46,6.67,6.02
6.01,5.71,11.45,6.56,6.82
6.2,5.71,11.4,6.73,6.22
5.85,5.7,12.06,6.9,6.92
