P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
1002.59,2.68,11.17,5.24,2.66
2.39,2.92,12.53,5.07,2.57
2.31,2.69,11.32,4.64,2.71
2.8,2.27,10.63,5.98,2.51
2.41,2.85,10.59,4.26,3.21
2.89,2.44,11.56,5.32,3.46
2.5,2.26,10.51,5.34,3.02
2.51,3.02,15.91,4.85,2.79
2.63,2.22,10.77,5.82,2.88
2.28,2.26,10.81,5.86,2.97
2.33,2.56,15.0,4.33,2.52
3.92,2.26,10.82,5.07,3.64
2.72,2.18,10.69,4.21,3.03
2.24,2.29,10.93,4.37,1002.4
2.63,2.41,15.7,5.84,2.56
2.85,3.35,13.4,5.69,3.21
2.29,2.35,11.96,1033.05,2.58
3.02,2.28,10.38,4.3,2.43
1002.3,2.69,10.36,4.15,2.44
2.48,2.14,11.89,4.74,2.63
2.61,2.04,11.39,4.18,3.23
3.02,1002.84,15.34,4.27,2.64
2.61,2.32,10.1,4.36,2.53
2.28,2.26,15.04,6.22,2.94
2.25,2.37,15.97,1004.49,3.22
3.56,3.08,10.4,4.78,2.73
2.31,3.37,13.23,4.47,3.66
2.96,2.82,13.87,1003.67,2.63
2.49,3.91,1012.66,6.03,2.67
2.19,2.18,11.01,4.18,2.7
2.25,2.71,10.37,5.15,2.53
2.23,3.13,10.26,6.03,2.98
2.25,2.74,10.49,4.91,3.7
2.2,2.23,10.88,4.64,3.17
2.33,2.77,10.75,4.42,3.44
1002.95,3.26,16.36,4.25,1003.47
2.39,2.81,10.57,4.3,1003.65
2.91,2.64,15.37,4.78,2.55
2.3,2.3,15.23,4.39,2.76
2.5,2.82,10.66,5.77,3.31
2.23,2.3,11.1,5.78,2.9
2.25,2.23,10.55,4.68,2.52
2.67,2.26,12.25,4.71,2.35
2.67,2.35,10.8,4.28,2.53
2.45,3.4,10.44,4.09,2.65
3.38,3.08,10.13,4.3,2.74
2.51,2.4,15.93,1004.52,2.53
2.41,2.37,10.59,4.07,2.64
2.3,3.25,10.32,4.19,3.23
2.47,3.06,14.37,5.6,2.56
2.54,2.28,10.93,4.41,2.5
2.7,2.31,12.02,4.44,1002.76
2.98,2.95,10.97,5.92,3.07
2.5,3.46,10.78,6.28,2.6
3.69,2.79,14.85,4.92,2.54
2.43,2.94,10.63,4.19,2.52
2.49,2.36,1009.61,4.69,3.28
2.6,2.58,10.74,4.1,1003.31
3.93,2.2,10.77,5.71,2.56
3.3,1002.29,13.88,5.0,2.63
2.68,1001.9,10.62,4.43,2.91
2.39,2.3,10.35,4.55,3.46
2.25,2.81,10.46,4.46,2.56
2.88,2.65,10.54,4.72,3.0
1001.74,2.89,10.52,6.32,3.28
2.28,2.19,10.53,4.45,1002.78
2.19,2.34,1024.18,6.0,2.66
3.25,2.53,10.48,4.57,2.55
2.32,2.69,13.19,5.05,2.81
2.33,2.42,11.81,4.33,2.69
3.05,2.9,10.5,4.25,2.65
3.43,3.02,10.43,4.37,2.61
2.28,2.26,10.38,4.39,3.45
2.27,2.56,13.41,4.77,3.4
2.21,2.69,10.83,4.23,2.62
2.99,2.9,10.51,4.72,2.54
2.74,2.2,10.54,5.86,3.21
2.42,2.77,1042.19,4.16,2.71
2.79,1002.68,10.8,4.34,3.24
2.65,2.19,16.32,5.39,3.04
2.35,2.34,16.14,4.99,2.77
2.22,2.29,12.16,4.06,2.9
1002.56,2.89,14.12,4.29,3.12
1002.5,2.3,10.72,4.7,3001.15
2.57,2.79,10.57,5.88,2.58
2.22,2.16,10.69,4.31,2.42
2.75,2.3,11.03,5.88,3.47
2.21,2.85,10.39,4.38,2.49
2.25,2.88,10.46,4.32,2.35
2.4,2.72,10.16,5.35,2.47
2.21,2.52,10.71,4.28,2.42
2.16,2.71,15.84,4.77,3.06
2.21,2.39,10.43,4.65,1003.7
2.32,2.2,11.13,1004.62,3.01
2.32,2.34,10.75,5.66,2.96
3.86,1002.94,13.7,4.39,2.59
2.38,2.51,12.97,4.37,3.66
1002.83,2.97,12.53,6.65,2.48
2.32,2.88,10.59,4.23,2.46
2.25,3.26,12.52,5.67,2.57
2.48,2.98,16.57,4.65,3.23
3.99,2.65,12.23,4.26,2.64
3.83,2.35,12.25,4.26,2.57
4.56,3.05,12.01,5.81,2.66
3.07,2.9,10.6,5.85,2.59
2.42,3.04,13.18,5.28,2.39
2.48,2.47,10.49,5.72,2.55
