Handshake_ID,P-521_Time_ms,P-521_Bytes_TCP,P-521_Bytes_TLS,P-521_Bytes_Total,4,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_TCP,p521_mlkem1024_Bytes_TLS,p521_mlkem1024_Bytes_Total,9,mlkem1024_Time_ms,mlkem1024_Bytes_TCP,mlkem1024_Bytes_TLS,mlkem1024_Bytes_Total
52,1031.18,626.0,1886.0,2512.0,,26.25,412.0,5014.0,5426.0,,9.11,412.0,4748.0,5160.0
53,1077.5,626.0,1886.0,2512.0,,27.08,1087.0,5012.0,6099.0,,8.74,412.0,4746.0,5158.0
54,18.23,412.0,1886.0,2298.0,,27.47,412.0,5014.0,5426.0,,8.6,412.0,4748.0,5160.0
55,18.35,412.0,1884.0,2296.0,,30.29,2004.0,3565.0,5569.0,,9.41,412.0,4748.0,5160.0
56,19.59,412.0,1886.0,2298.0,,26.12,412.0,5014.0,5426.0,,8.76,412.0,4748.0,5160.0
57,18.44,412.0,1884.0,2296.0,,26.2,412.0,5013.0,5425.0,,11.27,412.0,4748.0,5160.0
58,18.06,412.0,1886.0,2298.0,,26.5,412.0,5014.0,5426.0,,8.74,412.0,4747.0,5159.0
59,17.92,412.0,1886.0,2298.0,,26.23,412.0,5013.0,5425.0,,8.5,412.0,4748.0,5160.0
60,18.02,412.0,1885.0,2297.0,,27.19,412.0,5013.0,5425.0,,1067.79,692.0,4814.0,5506.0
61,17.91,412.0,1886.0,2298.0,,26.5,412.0,5014.0,5426.0,,11.57,412.0,4747.0,5159.0
62,18.48,412.0,1886.0,2298.0,,30.52,2757.0,4207.0,6964.0,,8.76,412.0,4747.0,5159.0
63,18.52,412.0,1886.0,2298.0,,26.95,412.0,5013.0,5425.0,,8.9,412.0,4748.0,5160.0
64,18.74,412.0,1885.0,2297.0,,26.54,412.0,5014.0,5426.0,,8.81,412.0,4747.0,5159.0
65,18.59,412.0,1886.0,2298.0,,26.48,412.0,5014.0,5426.0,,8.66,412.0,4748.0,5160.0
66,18.95,412.0,1885.0,2297.0,,26.55,412.0,5014.0,5426.0,,8.34,412.0,4747.0,5159.0
67,18.42,412.0,1885.0,2297.0,,27.62,412.0,5013.0,5425.0,,8.7,412.0,4747.0,5159.0
68,18.81,412.0,1886.0,2298.0,,26.66,412.0,5013.0,5425.0,,8.71,412.0,4748.0,5160.0
69,19.26,412.0,1885.0,2297.0,,26.34,412.0,5014.0,5426.0,,8.49,412.0,4747.0,5159.0
70,18.57,412.0,1885.0,2297.0,,27.3,412.0,5014.0,5426.0,,8.68,412.0,4747.0,5159.0
71,18.45,412.0,1886.0,2298.0,,26.29,412.0,5014.0,5426.0,,12.41,412.0,4747.0,5159.0
72,18.65,412.0,1886.0,2298.0,,26.5,412.0,5013.0,5425.0,,8.83,412.0,4748.0,5160.0
73,18.89,412.0,1886.0,2298.0,,26.2,412.0,5013.0,5425.0,,9.17,412.0,4747.0,5159.0
74,18.88,412.0,1886.0,2298.0,,26.92,412.0,5013.0,5425.0,,8.96,412.0,4748.0,5160.0
75,18.7,412.0,1885.0,2297.0,,30.21,2004.0,3566.0,5570.0,,8.9,412.0,4748.0,5160.0
76,18.82,412.0,1886.0,2298.0,,26.45,412.0,5014.0,5426.0,,9.12,412.0,4747.0,5159.0
77,19.5,412.0,1886.0,2298.0,,29.74,2004.0,3566.0,5570.0,,8.73,412.0,4748.0,5160.0
78,18.95,412.0,1886.0,2298.0,,26.9,412.0,5656.0,6068.0,,9.01,412.0,4746.0,5158.0
79,20.12,412.0,1886.0,2298.0,,26.32,412.0,5013.0,5425.0,,8.75,412.0,4747.0,5159.0
80,19.48,412.0,2528.0,2940.0,,27.7,412.0,5014.0,5426.0,,8.78,412.0,4748.0,5160.0
81,19.13,412.0,1885.0,2297.0,,26.78,412.0,5014.0,5426.0,,1066.13,692.0,4814.0,5506.0
82,18.62,412.0,1886.0,2298.0,,1072.92,692.0,5080.0,5772.0,,9.17,412.0,4748.0,5160.0
83,19.81,412.0,1886.0,2298.0,,26.57,412.0,5013.0,5425.0,,8.74,412.0,4748.0,5160.0
84,19.18,412.0,1886.0,2298.0,,1039.94,626.0,5080.0,5706.0,,8.71,412.0,4748.0,5160.0
85,19.48,412.0,1885.0,2297.0,,1077.73,692.0,5080.0,5772.0,,8.57,412.0,4746.0,5158.0
86,19.12,412.0,1885.0,2297.0,,26.53,412.0,5013.0,5425.0,,8.64,412.0,4748.0,5160.0
87,18.91,412.0,1885.0,2297.0,,26.5,412.0,5013.0,5425.0,,8.58,412.0,4748.0,5160.0
88,18.71,412.0,1886.0,2298.0,,26.47,412.0,5014.0,5426.0,,8.39,412.0,4747.0,5159.0
89,19.05,412.0,1886.0,2298.0,,26.42,412.0,5014.0,5426.0,,9.1,412.0,4748.0,5160.0
90,18.58,412.0,1885.0,2297.0,,26.98,412.0,5012.0,5424.0,,8.45,412.0,4748.0,5160.0
91,18.44,412.0,1885.0,2297.0,,26.12,412.0,5014.0,5426.0,,8.36,412.0,4746.0,5158.0
92,3805.87,412.0,1886.0,2298.0,,26.65,412.0,5014.0,5426.0,,1014.15,692.0,4814.0,5506.0
93,221.18,412.0,1885.0,2297.0,,28.98,412.0,5014.0,5426.0,,8.46,412.0,4747.0,5159.0
94,19.17,346.0,1885.0,2231.0,,27.51,412.0,5014.0,5426.0,,8.48,412.0,4746.0,5158.0
95,19.04,412.0,1886.0,2298.0,,26.35,412.0,5014.0,5426.0,,10.87,412.0,4748.0,5160.0
96,19.38,412.0,1885.0,2297.0,,26.69,412.0,5013.0,5425.0,,8.82,412.0,4747.0,5159.0
97,18.4,412.0,1886.0,2298.0,,27.47,412.0,5014.0,5426.0,,8.68,412.0,4748.0,5160.0
98,18.19,412.0,1886.0,2298.0,,26.79,412.0,5014.0,5426.0,,8.62,412.0,4748.0,5160.0
99,18.4,412.0,1886.0,2298.0,,26.28,412.0,5014.0,5426.0,,8.56,412.0,4748.0,5160.0
100,18.43,412.0,1886.0,2298.0,,30.06,1165.0,5014.0,6179.0,,8.37,412.0,4748.0,5160.0
101,223.28,412.0,1885.0,2297.0,,28.3,412.0,5014.0,5426.0,,8.64,412.0,4747.0,5159.0
