P-521,p521_mlkem1024,mlkem1024
17.7,25.11,14.01
17.15,28.36,14.28
16.9,25.07,14.1
17.13,24.98,14.35
16.86,29.56,14.01
16.95,25.01,14.25
17.52,32.47,13.98
16.83,32.37,14.19
17.44,31.03,14.15
16.83,25.02,14.28
17.07,25.23,14.18
16.34,24.77,14.25
16.94,24.71,13.9
16.9,27.69,14.11
17.1,28.3,14.06
16.72,24.8,13.96
19.35,24.7,14.04
16.36,24.68,14.31
16.49,24.84,14.31
16.71,30.78,14.9
16.8,29.55,16.05
16.38,24.78,14.06
16.26,25.26,14.89
18.73,24.97,14.13
16.85,29.68,13.96
16.91,24.75,14.24
17.77,25.29,14.21
17.1,30.28,14.76
16.43,25.21,14.34
17.67,28.27,14.4
16.68,25.06,14.09
17.04,25.08,14.14
17.57,24.82,14.19
17.11,24.68,14.92
16.95,25.07,14.04
16.24,26.93,14.04
16.89,25.18,14.02
16.63,24.95,13.9
17.15,24.8,14.2
16.55,24.77,13.97
18.65,24.76,14.26
17.04,24.74,14.46
17.01,25.51,14.53
17.66,27.75,14.29
17.64,24.84,14.03
16.87,28.74,14.18
16.64,25.18,14.96
16.48,25.05,14.71
16.5,25.44,14.23
16.9,25.18,14.17
17.84,25.62,14.04
16.98,24.7,14.23
18.96,32.16,14.2
17.14,24.78,14.17
16.69,25.84,16.73
17.21,28.04,14.24
16.56,32.6,14.36
16.5,25.12,14.34
16.33,25.88,13.95
16.77,25.23,14.21
16.29,26.41,14.08
18.37,25.01,14.15
16.67,24.92,14.2
17.28,24.98,14.08
16.33,24.98,14.66
16.41,25.25,14.3
17.74,25.21,14.04
16.43,28.27,14.49
16.26,25.32,15.81
16.59,25.34,14.96
16.42,30.14,14.11
19.2,24.86,13.97
16.91,24.63,14.31
16.49,25.48,14.3
16.51,25.01,14.19
16.54,24.84,14.2
16.99,25.31,14.36
16.16,24.76,13.93
17.39,24.9,13.99
16.51,26.49,14.05
16.69,25.21,14.02
16.37,26.35,14.1
16.51,25.38,14.21
16.21,26.29,13.93
18.65,26.35,14.29
16.25,25.89,14.32
17.37,25.17,14.48
16.37,24.64,14.01
16.42,26.27,14.01
16.29,25.3,14.61
16.18,29.49,14.02
16.4,26.4,15.14
18.39,25.32,14.17
16.53,26.1,14.71
16.28,31.54,14.06
16.44,24.49,14.03
16.57,26.16,13.96
16.38,24.96,14.35
19.13,32.31,14.21
16.59,28.31,14.62
16.45,31.83,13.99
16.9,26.07,14.21
16.42,27.13,14.03
16.35,25.09,14.33
16.11,25.07,13.99
16.3,26.11,14.57
19.3,25.16,14.62
16.44,24.99,14.49
16.75,28.01,14.2
16.26,27.35,15.01
16.61,25.2,15.35
18.83,26.72,16.15
16.75,28.35,14.24
16.43,25.98,14.64
16.95,24.99,14.15
16.77,25.97,14.07
16.72,24.99,14.35
16.43,25.42,13.99
16.49,25.74,13.98
16.34,26.2,14.99
16.48,25.48,14.24
16.35,32.09,13.97
16.38,26.07,14.26
16.45,27.87,14.85
16.37,25.38,14.38
16.34,26.18,14.14
18.56,32.45,14.08
16.28,29.27,14.04
16.31,31.19,14.96
16.76,25.01,14.36
16.4,27.45,14.69
16.11,25.43,14.42
16.48,28.16,14.29
16.58,24.57,14.18
16.67,24.81,14.0
16.66,24.96,13.93
20.07,25.25,15.66
16.46,24.88,15.0
16.17,28.03,13.94
16.31,25.27,14.07
16.37,29.05,14.01
16.46,32.52,14.34
16.51,24.67,14.28
16.31,25.0,14.17
16.25,24.91,14.17
16.59,28.47,14.5
16.35,24.79,14.03
16.61,24.76,14.29
16.32,25.35,14.62
16.42,24.92,14.08
16.55,27.47,14.2
16.3,25.27,13.99
16.47,25.18,14.29
16.16,28.15,13.95
16.63,24.88,14.4
16.63,27.75,14.48
16.26,25.37,14.25
16.25,25.05,13.95
16.26,29.76,14.0
15.93,25.02,14.04
16.64,24.34,14.03
16.35,24.54,13.99
16.16,25.08,14.0
16.28,28.24,14.25
16.35,26.38,14.9
16.43,25.71,15.1
16.32,25.52,14.34
16.22,26.59,14.08
17.02,31.41,14.04
16.11,30.15,14.12
16.32,26.45,14.44
19.11,25.84,14.49
18.86,26.2,14.34
16.52,32.75,14.1
16.46,25.25,14.04
18.58,26.0,14.4
16.33,27.83,14.68
19.08,26.22,14.03
16.84,26.32,13.98
18.12,26.04,14.52
16.62,26.07,14.52
16.33,32.09,14.1
16.51,25.06,15.93
16.35,34.43,14.2
16.31,25.79,14.28
16.25,29.73,14.61
16.37,26.28,14.36
16.44,30.06,14.15
16.2,28.87,14.08
16.29,26.48,15.06
16.28,25.95,16.21
16.49,25.8,14.57
16.44,26.77,14.38
16.42,30.46,15.13
16.41,25.16,14.17
16.38,27.3,14.05
17.32,26.59,14.08
18.2,26.54,14.21
16.29,26.33,14.09
16.3,25.39,14.24
16.18,32.1,13.99
16.35,26.39,14.19
16.26,30.91,14.66
16.18,25.98,14.01
16.52,26.93,14.13
16.81,27.67,14.59
16.74,26.17,14.05
16.43,30.03,14.02
16.44,25.75,14.44
16.45,26.64,14.85
16.33,26.78,14.51
16.79,25.57,14.45
16.15,29.98,14.03
18.02,26.74,13.97
16.41,31.81,14.28
16.49,25.0,14.07
16.6,24.84,14.01
16.42,28.26,14.26
16.35,27.56,14.14
17.45,27.39,14.3
16.66,26.44,14.64
16.5,25.04,15.02
16.46,25.18,14.19
16.19,24.8,14.2
16.34,24.97,14.14
16.35,27.38,14.01
16.39,32.56,13.97
17.83,29.03,14.11
16.43,24.86,13.97
18.2,25.55,14.25
16.36,25.21,14.11
18.43,25.37,14.11
16.42,25.04,15.99
16.64,25.19,14.63
16.53,25.24,14.37
16.4,24.63,14.7
