P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
26.23,25.3,35.73,27.92,23.86
26.08,24.85,34.86,29.08,24.11
26.43,25.18,35.42,29.91,24.16
26.07,25.28,34.79,28.05,24.33
26.65,25.03,34.6,28.26,24.46
26.44,25.52,34.51,29.32,24.76
26.74,24.85,35.05,27.75,24.43
26.07,27.2,35.73,27.68,24.32
26.04,25.02,36.13,31.39,24.89
25.93,24.95,35.88,27.97,24.09
28.2,25.16,34.8,28.63,24.09
26.31,24.93,34.79,27.66,24.56
26.36,25.1,37.73,28.02,23.78
26.4,25.6,35.33,28.5,24.28
26.06,25.0,35.65,28.01,24.18
25.88,24.93,43.35,27.47,24.21
26.04,24.87,34.81,27.55,24.03
26.27,24.81,34.08,27.88,24.16
26.26,24.92,35.14,30.56,24.0
26.19,25.06,34.8,27.68,24.23
26.39,25.09,34.78,27.9,24.4
27.99,24.8,35.65,31.05,23.83
27.7,24.82,35.3,28.89,24.19
27.2,24.89,35.35,27.65,23.91
26.07,25.1,34.53,27.77,24.19
26.03,25.13,35.6,27.99,24.05
27.2,24.97,34.67,28.42,23.9
26.46,25.9,34.92,28.15,24.18
30.52,24.91,36.09,28.84,24.11
26.35,25.2,35.62,28.32,24.15
26.42,25.01,35.12,27.84,24.17
25.96,25.16,38.08,28.16,24.32
26.48,25.09,34.7,30.87,23.95
27.01,24.95,37.22,29.46,24.73
25.94,25.36,34.29,29.19,23.9
26.08,24.94,34.69,28.55,23.73
26.31,25.01,34.58,28.25,24.27
26.08,24.87,34.34,27.93,24.68
25.97,25.08,34.59,30.67,24.04
26.82,24.95,35.27,27.79,24.07
26.3,25.47,35.3,28.15,24.09
26.18,25.29,35.3,30.4,24.23
26.29,24.87,34.57,28.26,24.19
26.33,24.98,34.54,28.15,24.89
27.84,24.84,34.43,28.81,24.96
26.31,24.86,35.02,27.88,24.88
26.42,26.05,34.66,29.15,24.88
26.02,24.72,34.68,28.84,24.52
28.57,24.93,34.86,28.34,24.79
26.13,24.94,35.31,29.06,24.3
26.38,24.72,34.38,28.34,24.52
25.98,24.94,34.48,29.01,24.18
26.72,26.55,34.79,27.95,24.14
26.08,25.69,34.53,28.2,24.26
26.32,25.24,37.09,29.14,24.32
26.18,24.83,34.89,28.44,25.29
26.44,24.92,34.42,28.84,24.43
26.2,25.04,35.07,28.82,24.98
26.34,24.85,35.49,28.47,24.32
28.55,25.09,34.79,29.21,24.02
26.47,24.9,35.07,29.33,23.92
26.33,24.48,34.61,27.85,24.57
26.16,25.31,35.51,28.03,24.31
26.14,25.76,34.36,28.44,24.09
26.35,25.15,34.36,28.8,24.96
28.2,26.83,34.38,27.97,24.29
26.41,25.46,34.3,27.83,23.98
26.5,25.03,34.8,27.71,25.05
26.26,25.4,34.66,27.63,24.14
27.18,25.58,34.51,28.61,24.32
26.31,25.0,34.88,29.41,24.93
26.35,24.97,34.43,27.57,24.87
26.44,25.07,37.95,28.04,24.34
28.33,24.85,38.1,30.29,24.36
26.75,24.83,34.81,27.59,24.15
26.18,24.93,34.3,27.4,23.99
26.16,25.0,34.41,27.46,24.47
25.99,25.37,34.39,28.28,25.35
26.07,25.24,34.36,28.07,24.4
26.05,24.89,35.2,27.5,24.53
26.08,24.71,34.96,27.48,24.4
26.42,27.19,34.31,31.27,24.29
26.95,25.11,34.83,27.54,25.27
26.38,24.89,34.59,27.39,24.34
26.28,25.1,35.85,28.59,24.08
26.32,24.8,34.71,29.2,25.85
26.71,25.18,34.81,28.14,24.23
25.96,26.55,34.78,29.27,26.05
26.31,24.82,34.48,27.68,24.82
26.46,24.94,35.12,27.45,24.18
26.28,25.0,34.47,28.57,24.13
26.93,25.62,34.83,30.09,24.02
26.3,25.24,37.24,27.49,24.09
26.02,25.18,38.42,27.68,23.79
26.13,24.91,34.33,27.67,24.02
26.69,25.05,34.3,29.01,25.84
26.11,24.98,34.19,28.75,24.05
26.62,24.98,34.38,28.53,23.94
26.49,25.01,37.34,27.49,24.3
26.07,24.84,34.49,29.0,24.12
26.92,24.77,34.57,27.69,24.34
26.23,25.54,34.91,28.71,24.05
26.1,26.72,34.51,27.46,23.81
26.31,25.25,34.16,27.75,24.02
26.29,25.24,34.55,28.06,26.3
26.63,24.98,34.92,27.67,24.3
26.51,24.9,34.35,27.5,24.13
26.61,25.25,37.65,30.34,24.25
26.32,24.98,34.37,28.41,25.39
26.35,24.96,34.42,27.65,24.44
26.11,24.84,36.39,27.84,26.16
26.4,24.87,34.39,27.6,24.24
