P-521,p521_mlkem1024,mlkem1024
59.1,66.9,48.58
58.16,67.26,48.62
58.43,67.27,48.84
58.41,67.17,48.78
58.32,68.92,50.35
58.39,78.69,50.56
58.53,73.52,49.0
58.37,67.19,48.89
58.55,67.16,48.89
58.3,66.85,48.8
58.46,70.44,48.81
58.4,66.79,48.92
58.16,66.61,48.93
58.84,66.47,49.06
58.09,66.83,48.96
58.75,67.15,48.88
58.13,66.75,49.38
57.98,66.66,48.95
57.95,66.58,48.87
58.7,66.38,48.65
58.31,66.2,48.92
58.31,66.81,48.81
57.94,66.46,48.92
58.34,66.24,49.16
57.99,66.33,48.99
58.31,66.22,48.97
58.48,66.28,48.93
58.15,66.67,48.92
58.07,66.83,48.72
57.98,66.92,48.72
59.27,66.69,48.81
57.85,66.59,48.78
58.27,66.23,48.89
58.07,66.43,48.91
58.15,66.61,48.97
57.99,66.5,48.98
62.32,66.92,48.86
60.28,66.86,48.73
58.32,66.25,48.66
58.21,67.03,48.78
58.11,67.2,48.86
58.34,67.61,48.95
57.97,67.03,48.85
58.27,66.94,48.8
58.05,66.91,48.86
58.79,67.55,48.68
58.57,67.35,48.73
58.09,66.96,48.81
57.95,67.02,48.75
58.53,67.03,48.68
58.58,67.42,48.96
58.66,67.23,48.81
58.54,66.85,48.96
58.47,66.59,48.93
60.54,66.47,48.94
58.25,66.52,50.71
57.97,66.74,48.91
58.05,66.31,48.84
58.44,66.46,48.63
59.16,66.38,48.82
58.0,68.77,48.69
58.23,66.58,49.0
58.26,66.74,49.0
58.41,66.88,48.94
58.29,66.67,49.01
58.14,66.47,48.88
58.38,66.21,48.94
58.26,66.28,48.81
58.19,66.63,48.68
58.83,66.44,48.96
58.28,66.26,48.94
58.52,66.44,48.82
58.32,66.43,48.86
58.35,66.46,48.94
58.1,66.96,48.84
58.8,66.48,48.77
58.53,66.65,51.76
58.19,66.4,48.64
58.6,66.67,48.67
58.6,66.49,48.81
58.11,66.28,48.83
58.04,66.27,48.96
57.88,66.65,48.97
58.01,66.4,48.9
58.2,66.4,49.43
58.04,66.57,48.91
58.93,76.51,48.94
58.4,76.45,49.05
59.08,67.11,48.74
58.54,66.97,48.9
58.28,68.86,48.94
58.38,66.62,49.08
58.2,66.22,48.98
58.78,66.41,49.05
58.16,66.35,48.9
58.05,67.19,48.86
58.03,66.61,48.85
58.2,66.87,48.8
58.13,66.66,48.78
58.24,66.47,48.84
58.22,66.61,48.92
58.28,67.16,48.92
58.41,67.7,48.85
58.33,67.23,48.95
58.21,66.83,48.97
58.49,66.84,48.93
58.2,68.03,48.87
58.24,67.06,49.01
58.38,67.71,48.69
58.33,66.6,48.6
58.38,66.73,48.78
58.26,66.9,48.9
58.37,66.81,48.99
57.99,66.5,48.83
58.05,66.91,51.01
58.44,66.5,49.32
58.26,66.82,48.93
58.22,66.26,49.28
57.85,66.92,51.02
58.52,66.62,48.77
58.07,66.79,50.99
58.1,66.93,49.0
58.19,66.74,48.9
58.39,66.72,49.0
58.23,66.86,48.89
58.16,66.54,49.04
58.64,67.5,50.62
58.38,66.95,48.87
58.36,67.07,48.64
58.3,66.43,49.04
58.29,66.36,48.82
58.23,66.43,48.95
58.17,73.28,48.98
58.43,67.11,49.03
58.24,67.13,48.9
58.3,67.53,49.0
58.24,66.67,48.71
58.65,66.57,48.82
57.99,66.54,48.7
57.96,66.51,49.03
58.07,66.74,48.85
57.95,67.05,48.85
58.72,66.27,49.02
58.12,66.58,48.98
58.12,66.61,48.8
58.23,66.43,48.84
58.0,66.25,48.83
58.11,66.39,48.91
58.05,66.21,48.65
58.08,66.39,48.81
58.11,66.21,48.84
58.01,66.49,48.95
58.18,66.28,48.73
57.86,71.97,48.83
58.65,67.55,48.81
58.68,66.65,48.96
58.31,66.89,48.71
58.26,66.79,49.05
58.44,66.71,48.74
58.69,66.98,48.89
58.48,66.74,48.93
58.67,66.89,49.0
58.7,66.96,48.99
58.98,66.8,48.97
58.41,71.06,49.49
58.64,67.7,48.78
58.45,68.11,48.57
58.48,68.94,48.73
59.35,66.94,48.84
58.37,66.69,48.78
58.31,67.01,49.25
59.95,67.11,48.87
58.12,66.9,48.93
58.15,66.67,48.85
58.03,66.71,48.86
58.26,66.62,48.75
58.46,66.75,48.71
58.48,66.63,49.01
58.3,67.09,48.77
58.86,67.2,48.85
58.23,67.32,48.98
58.5,66.92,48.95
58.25,67.09,49.03
57.9,66.82,49.11
59.39,66.93,48.87
58.24,66.88,49.02
58.06,67.05,48.77
58.01,66.95,48.85
57.95,67.26,48.85
58.17,67.08,48.73
58.35,67.42,49.04
57.94,69.01,48.86
57.95,67.72,49.01
58.41,67.08,48.81
58.21,66.45,48.92
58.4,66.71,48.86
64.24,66.68,48.74
58.38,66.37,48.63
58.38,66.77,48.8
58.46,66.67,48.87
58.71,66.46,48.98
59.29,66.77,48.95
58.44,66.33,48.89
58.47,66.27,48.94
58.11,66.36,48.88
64.0,66.41,49.08
58.47,66.38,48.84
58.26,66.37,48.82
58.3,66.26,48.68
58.36,66.29,48.77
58.33,66.28,48.92
58.42,66.61,49.01
58.34,66.84,48.95
58.1,67.28,48.95
58.26,66.57,49.04
63.92,66.38,48.82
58.44,66.79,48.61
58.19,66.89,49.06
58.44,67.26,48.9
58.31,67.78,49.03
58.37,66.85,48.77
58.54,66.92,49.19
58.25,66.92,49.04
58.04,66.78,48.91
58.61,66.69,49.23
58.37,67.3,49.06
58.7,67.36,48.68
59.15,67.26,48.77
58.14,67.3,48.76
61.2,67.02,48.79
58.72,66.99,49.01
58.45,66.84,49.01
58.29,66.73,48.9
58.2,66.31,48.85
58.19,67.62,48.86
3642.65,66.48,49.05
