Handshake_ID,P-384_Time_ms,P-384_Bytes_TCP,P-384_Bytes_TLS,P-384_Bytes_Total,4,x448_Time_ms,x448_Bytes_TCP,x448_Bytes_TLS,x448_Bytes_Total,9,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_TCP,p384_mlkem768_Bytes_TLS,p384_mlkem768_Bytes_Total,14,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_TCP,x448_mlkem768_Bytes_TLS,x448_mlkem768_Bytes_Total,19,mlkem768_Time_ms,mlkem768_Bytes_TCP,mlkem768_Bytes_TLS,mlkem768_Bytes_Total
31,8.43,412.0,1704.0,2116.0,,6.47,412.0,1623.0,2035.0,,16.06,412.0,3968.0,4380.0,,8.25,412.0,3885.0,4297.0,,6.0,412.0,3773.0,4185.0
32,8.51,412.0,1705.0,2117.0,,5.76,412.0,1623.0,2035.0,,16.49,412.0,3968.0,4380.0,,9.22,412.0,3886.0,4298.0,,6.44,412.0,3775.0,4187.0
33,8.45,412.0,1704.0,2116.0,,6.36,412.0,1623.0,2035.0,,15.8,412.0,3968.0,4380.0,,6.56,412.0,3886.0,4298.0,,5.07,412.0,3774.0,4186.0
34,8.8,412.0,1705.0,2117.0,,8.19,412.0,1621.0,2033.0,,16.1,412.0,3968.0,4380.0,,6.51,412.0,3885.0,4297.0,,5.53,412.0,4415.0,4827.0
35,9.06,412.0,1705.0,2117.0,,6.14,412.0,1622.0,2034.0,,16.91,412.0,3969.0,4381.0,,6.29,412.0,3886.0,4298.0,,5.67,412.0,3775.0,4187.0
36,8.6,412.0,1705.0,2117.0,,6.96,412.0,1622.0,2034.0,,16.82,412.0,3968.0,4380.0,,7.21,412.0,3886.0,4298.0,,5.21,412.0,3774.0,4186.0
37,9.46,412.0,2346.0,2758.0,,6.49,412.0,1623.0,2035.0,,15.73,412.0,3967.0,4379.0,,6.79,412.0,3886.0,4298.0,,5.82,412.0,3774.0,4186.0
38,8.62,412.0,1705.0,2117.0,,6.32,412.0,1622.0,2034.0,,16.02,412.0,3968.0,4380.0,,6.52,412.0,3885.0,4297.0,,7.03,412.0,3773.0,4185.0
39,828.16,412.0,1704.0,2116.0,,6.29,412.0,1622.0,2034.0,,1038.77,552.0,4035.0,4587.0,,6.44,412.0,3885.0,4297.0,,5.09,412.0,3774.0,4186.0
40,8.87,412.0,1704.0,2116.0,,6.34,412.0,1621.0,2033.0,,15.99,745.0,3969.0,4714.0,,8.2,412.0,3885.0,4297.0,,5.32,412.0,3773.0,4185.0
41,8.93,346.0,1703.0,2049.0,,5.81,412.0,1623.0,2035.0,,18.52,412.0,3968.0,4380.0,,6.72,412.0,3886.0,4298.0,,5.28,412.0,3775.0,4187.0
42,8.65,412.0,1703.0,2115.0,,6.69,412.0,1621.0,2033.0,,16.14,412.0,3969.0,4381.0,,6.77,412.0,3886.0,4298.0,,5.19,412.0,3773.0,4185.0
43,8.88,412.0,1704.0,2116.0,,7.21,412.0,1622.0,2034.0,,1059.3,692.0,4033.0,4725.0,,6.63,412.0,3886.0,4298.0,,5.29,412.0,3773.0,4185.0
44,9.21,412.0,1704.0,2116.0,,5.9,412.0,1622.0,2034.0,,15.41,412.0,3968.0,4380.0,,9.59,412.0,3886.0,4298.0,,5.39,412.0,3775.0,4187.0
45,8.85,412.0,1704.0,2116.0,,6.65,412.0,1622.0,2034.0,,15.96,412.0,3967.0,4379.0,,9.41,412.0,3885.0,4297.0,,1229.01,692.0,3840.0,4532.0
46,8.93,412.0,1705.0,2117.0,,6.62,412.0,1622.0,2034.0,,15.6,412.0,3968.0,4380.0,,8.64,412.0,3886.0,4298.0,,5.06,412.0,3773.0,4185.0
47,8.79,412.0,1704.0,2116.0,,213.99,412.0,1623.0,2035.0,,19.78,2004.0,2520.0,4524.0,,6.69,412.0,3886.0,4298.0,,5.1,412.0,3775.0,4187.0
48,1061.37,626.0,1704.0,2330.0,,1046.76,626.0,1622.0,2248.0,,16.89,412.0,3967.0,4379.0,,6.62,412.0,3887.0,4299.0,,1032.38,626.0,3840.0,4466.0
