P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
16.2,14.47,24.96,20.66,14.54
16.19,14.93,24.93,18.93,14.33
16.08,14.53,32.56,18.54,14.51
16.26,14.8,24.79,17.6,14.37
16.28,14.43,24.75,17.81,14.55
16.12,14.81,25.05,17.45,14.4
17.22,14.36,29.48,17.48,14.59
16.63,14.44,24.93,17.88,14.5
16.35,14.88,24.68,18.1,15.69
16.17,14.38,25.48,17.88,14.32
16.08,14.44,24.87,17.87,14.42
16.15,14.63,24.88,17.98,16.76
16.26,14.47,24.77,19.87,14.29
16.35,14.52,24.57,19.23,14.84
15.99,14.82,24.84,19.91,13.63
16.6,14.73,24.8,17.98,16.0
16.28,14.91,24.36,18.55,15.15
16.32,14.66,25.11,19.53,16.24
16.59,14.26,24.71,18.62,13.96
17.59,15.12,25.04,17.44,14.05
16.21,14.58,25.01,17.82,16.3
16.25,14.44,33.78,17.73,14.96
16.32,14.76,27.79,20.26,14.04
16.2,17.24,24.83,17.83,15.55
16.32,14.82,24.84,19.11,14.07
18.27,15.34,25.16,18.28,14.08
16.21,14.87,24.55,17.34,14.59
16.16,14.84,24.62,17.46,14.35
16.28,17.08,24.66,18.36,14.41
16.23,14.92,27.62,19.0,13.95
16.23,14.8,28.2,18.25,15.24
17.94,15.78,24.86,17.99,14.58
15.96,14.51,24.89,17.13,14.45
15.97,14.44,24.52,17.69,15.64
17.55,14.38,26.61,17.48,14.9
16.18,14.26,25.31,17.1,14.06
16.32,14.8,25.05,18.18,13.73
16.47,14.38,30.59,17.21,13.99
16.12,14.29,24.93,18.02,13.94
16.27,14.33,25.03,17.79,13.86
17.82,16.32,29.72,18.75,13.99
16.25,14.71,29.05,17.93,14.41
16.05,15.74,24.93,17.13,14.68
16.17,14.74,28.49,18.08,14.57
16.24,16.75,25.41,19.0,13.96
16.26,15.66,25.14,17.79,13.95
16.14,15.31,24.72,19.68,14.39
16.27,15.74,24.73,19.01,13.72
16.39,14.86,25.0,17.83,14.53
16.15,14.85,24.96,18.0,16.44
16.16,15.3,24.89,18.2,14.22
16.24,14.59,25.25,17.51,14.3
16.18,14.75,24.71,17.93,14.27
16.17,14.81,27.92,17.91,14.38
16.31,15.43,24.95,19.58,14.3
16.74,14.65,29.61,18.52,14.26
18.25,15.05,31.45,19.42,15.7
16.12,14.91,25.06,19.24,14.26
16.7,14.34,24.89,19.7,14.12
16.29,15.63,25.3,17.78,14.23
16.21,14.79,32.35,19.0,13.91
16.33,14.88,25.06,17.61,14.01
15.94,16.17,24.93,18.13,13.89
16.25,14.73,24.82,18.78,15.12
16.29,15.36,32.91,22.67,14.1
16.2,14.38,24.93,18.2,14.53
16.26,15.09,25.28,17.93,14.09
16.34,14.8,25.11,17.39,13.81
16.24,16.25,27.99,17.27,14.44
16.14,14.9,33.44,17.42,14.39
16.21,14.75,25.34,17.42,13.8
16.03,14.51,27.14,17.46,14.37
16.22,14.36,25.27,20.75,13.78
16.18,14.5,32.83,17.49,13.73
16.16,14.47,24.92,17.62,13.79
16.24,14.45,25.14,17.5,13.78
17.66,14.63,30.05,17.41,14.04
16.29,14.52,24.64,19.5,14.25
16.16,15.65,31.24,17.57,15.59
16.07,14.47,24.86,17.89,14.01
16.52,15.29,26.1,17.54,14.2
16.88,14.38,24.97,17.58,14.4
17.83,14.44,27.59,17.44,14.37
16.14,15.03,24.91,17.29,14.97
16.24,14.61,25.04,17.35,14.32
16.27,15.4,24.88,18.93,14.35
15.93,15.15,24.63,18.58,14.3
16.75,16.03,24.9,17.45,14.29
16.27,14.59,25.69,20.52,14.11
16.17,17.59,25.22,18.53,14.28
16.05,15.36,32.63,17.59,16.2
15.96,14.55,25.21,17.57,14.24
16.94,15.02,25.28,17.53,14.17
16.2,15.05,24.65,18.8,13.71
16.15,15.18,24.99,17.55,14.09
16.2,15.3,24.94,17.42,14.21
16.32,14.8,25.05,18.0,14.45
16.35,15.36,36.08,18.33,15.01
16.22,14.93,32.26,18.9,14.27
16.14,16.19,24.61,17.55,14.18
18.21,14.62,24.88,18.36,13.71
16.25,16.55,24.91,18.8,13.68
16.62,15.52,25.18,17.56,14.15
16.63,17.17,24.92,18.94,14.28
15.93,16.97,24.8,20.22,13.81
15.97,14.7,25.45,20.78,14.34
17.91,15.02,24.75,18.99,13.96
16.15,14.87,24.83,21.13,13.93
16.48,15.01,35.92,18.51,14.13
16.28,15.74,24.87,19.19,15.4
16.22,14.8,25.02,18.28,14.55
16.28,15.5,25.13,18.91,14.32
16.43,15.45,25.68,19.52,14.31
16.28,15.65,25.12,18.85,14.21
16.22,15.06,29.1,17.76,14.43
16.33,16.3,27.16,17.66,14.29
16.49,15.55,27.55,18.82,13.79
16.23,15.28,24.99,17.62,13.99
16.19,14.98,28.58,17.92,14.31
16.3,15.35,25.24,21.05,14.14
16.43,15.27,25.09,20.31,13.89
15.98,15.12,30.57,19.51,14.62
16.21,15.42,24.94,18.56,13.96
16.2,14.72,24.77,16.89,14.56
16.25,14.74,24.66,16.94,14.31
16.23,16.31,26.05,19.17,14.23
16.16,17.9,25.34,17.35,14.66
16.68,15.72,25.13,18.24,14.26
16.27,14.83,26.54,18.28,15.24
16.19,15.12,24.85,17.28,14.47
16.21,16.6,24.71,17.84,14.02
15.95,15.1,25.13,17.55,14.38
16.64,15.46,24.64,18.21,14.47
16.18,16.0,24.66,18.39,14.57
16.09,15.06,24.56,19.01,14.34
16.32,16.29,24.57,17.39,14.61
16.56,14.76,25.28,17.59,14.39
16.12,14.97,26.0,17.53,14.16
16.36,14.8,24.82,18.51,14.51
16.43,15.34,24.98,18.48,14.15
16.5,17.02,25.28,17.38,14.34
16.19,15.08,25.3,17.88,15.24
16.43,14.81,25.04,20.57,14.73
16.36,16.01,25.38,17.47,14.47
16.55,15.61,25.53,17.46,14.26
16.29,15.12,28.82,17.72,14.13
15.93,15.4,27.62,19.05,14.18
16.34,14.74,25.93,17.65,14.16
16.07,14.82,24.82,17.84,16.06
16.43,14.47,24.6,20.4,14.33
16.01,17.05,27.99,18.09,14.35
16.14,15.11,27.27,19.08,14.78
16.19,14.81,25.36,18.15,14.68
16.11,14.38,24.85,22.29,14.48
16.12,14.9,25.55,17.58,14.14
16.26,14.84,26.1,18.29,14.14
18.82,15.08,24.96,19.25,14.22
16.02,14.85,27.84,18.36,14.35
16.26,15.2,25.49,17.93,14.49
19.38,16.6,25.2,17.55,14.84
16.26,14.9,24.91,17.73,15.88
16.53,14.79,24.97,18.1,14.26
17.57,14.93,25.38,19.71,14.25
16.05,14.9,24.87,19.79,14.13
16.35,14.9,25.12,20.7,14.82
16.17,14.83,25.4,17.42,14.43
16.1,14.99,24.91,17.57,14.16
16.04,15.1,29.9,18.35,15.81
17.21,14.41,24.64,19.21,14.23
16.46,15.04,29.18,18.63,14.07
15.98,14.83,25.47,16.91,16.06
16.35,14.77,28.94,16.74,14.84
16.14,14.43,24.82,16.77,14.4
16.04,14.54,27.09,20.02,14.47
16.62,18.15,24.72,17.35,14.43
16.07,16.67,24.74,17.43,14.11
16.15,14.53,25.25,16.96,14.23
17.9,14.42,25.42,17.42,14.18
16.22,14.41,24.77,19.63,14.56
16.13,15.35,25.04,17.63,14.37
16.09,14.4,28.1,16.99,14.89
16.19,14.37,25.05,16.77,14.47
16.01,14.59,25.61,17.75,14.32
16.79,15.22,25.22,20.64,14.37
16.23,14.32,25.24,17.43,14.31
18.35,14.35,27.18,16.82,14.52
16.13,14.39,24.79,17.03,14.63
16.13,16.7,26.68,19.79,14.23
15.94,14.61,28.37,17.85,15.95
16.23,14.55,25.54,17.14,14.19
16.13,14.39,33.59,18.58,14.2
16.31,14.42,25.51,17.02,14.3
16.27,14.57,26.41,17.53,14.29
16.28,14.56,27.38,17.46,14.25
16.18,14.75,28.75,20.31,14.42
16.2,14.83,24.79,19.86,15.8
16.26,14.75,28.79,17.18,14.14
16.3,14.73,29.4,18.28,14.1
16.25,14.45,25.46,18.46,14.13
16.34,14.53,27.88,17.3,14.14
16.15,14.92,25.38,17.26,14.23
15.92,14.6,26.01,19.47,14.09
16.01,15.27,25.85,19.34,15.57
16.14,14.66,27.99,17.35,16.01
16.23,15.29,25.16,17.68,14.25
16.1,14.91,25.04,17.35,14.34
16.27,14.75,25.24,17.09,14.29
16.39,14.57,25.2,17.17,15.4
16.16,14.57,25.43,18.49,14.04
16.11,16.24,25.18,19.26,14.16
16.27,14.67,32.64,17.11,14.2
15.96,14.74,24.97,17.23,14.01
16.2,14.58,25.28,17.14,14.17
16.21,14.31,25.14,18.28,14.13
16.03,14.94,25.41,17.33,14.26
16.13,14.83,32.91,20.4,14.11
16.16,15.07,25.04,17.49,14.9
16.2,15.12,25.78,18.82,13.87
16.78,14.62,25.2,19.83,14.21
16.19,17.56,28.69,18.04,14.37
15.96,14.46,24.78,20.31,14.4
16.12,15.0,31.17,18.43,14.36
16.14,15.06,24.58,17.7,14.37
16.3,14.91,25.27,18.38,14.21
16.36,15.26,24.72,20.18,14.74
16.25,15.14,27.91,17.64,13.99
16.39,15.57,24.91,18.54,14.42
16.18,15.3,24.92,17.64,14.22
16.27,15.66,25.19,17.1,14.36
16.67,14.86,25.13,18.7,14.32
16.16,15.38,25.05,17.51,14.3
16.39,15.27,24.62,19.15,13.9
16.56,15.41,24.93,17.54,14.02
16.29,15.21,28.61,17.27,13.94
16.1,15.32,25.69,18.14,14.24
16.18,15.53,24.81,17.38,14.1
17.05,17.26,24.86,17.3,14.05
16.26,15.47,30.85,17.96,13.97
15.99,15.18,26.0,21.0,14.29
16.26,15.23,24.96,17.47,14.33
16.25,15.27,27.65,21.38,13.78
16.18,14.97,28.21,18.74,14.26
15.94,17.18,25.83,18.88,14.64
15.93,15.0,25.02,17.83,14.08
16.26,15.19,26.11,18.29,13.97
16.1,15.32,31.21,18.33,14.37
16.02,15.44,36.0,17.5,14.28
16.56,16.43,24.56,17.61,14.25
17.02,15.36,24.85,21.49,14.25
16.04,15.37,25.55,19.79,14.3
17.66,14.88,25.2,17.55,14.37
16.18,15.75,24.92,17.3,14.43
16.02,14.52,28.84,18.17,14.14
16.23,14.71,24.98,17.41,14.2
16.15,14.42,30.8,17.47,15.85
16.43,14.31,25.02,19.54,14.47
17.22,14.33,25.14,18.74,14.0
16.83,14.25,29.61,19.45,15.14
16.09,14.35,25.52,17.45,14.67
16.61,14.3,27.98,17.4,14.61
16.04,14.44,24.95,17.64,14.63
16.24,14.62,29.39,17.56,14.43
16.34,14.32,26.22,17.69,14.23
16.36,14.4,26.33,17.61,15.13
16.34,14.36,33.3,17.9,14.17
16.34,14.41,28.83,17.42,14.74
16.16,15.31,29.1,18.14,14.66
19.44,14.86,27.29,18.43,14.68
18.23,15.02,26.83,19.17,16.02
16.44,14.68,26.04,19.74,14.51
16.18,14.46,25.25,17.87,15.06
16.13,14.29,25.39,17.58,14.36
16.11,14.47,25.2,18.32,14.46
16.43,14.76,25.7,17.55,14.33
16.79,14.87,24.79,20.77,14.28
16.34,14.37,24.83,17.69,14.57
17.78,14.59,33.61,18.45,14.4
18.42,14.43,28.14,18.46,14.89
16.5,14.45,27.24,19.42,15.66
16.45,14.65,26.56,17.5,14.83
16.4,15.11,30.37,17.38,14.78
19.35,15.1,31.9,20.09,14.6
16.32,15.62,25.31,17.54,14.31
16.23,15.55,31.24,18.04,15.05
16.73,15.77,33.03,18.83,14.75
19.33,15.29,26.1,17.53,14.23
16.47,15.9,26.73,17.45,14.44
16.43,15.09,30.7,18.52,14.48
16.67,15.73,28.46,17.49,14.08
19.39,14.98,25.09,17.54,14.31
16.98,14.9,26.39,18.59,14.77
18.65,14.66,29.61,17.76,14.83
16.78,16.32,25.71,18.76,14.37
18.46,14.91,26.23,20.76,14.41
16.84,14.78,33.51,17.78,16.6
16.8,16.21,30.58,17.84,14.6
18.44,15.15,25.98,17.76,16.2
16.34,14.81,26.2,17.56,14.53
16.38,16.14,25.58,17.65,14.57
16.29,14.98,25.87,21.73,14.97
16.65,15.01,25.5,17.25,14.77
16.89,15.1,27.64,18.62,14.1
16.77,16.08,26.36,17.47,14.16
16.95,14.98,26.04,17.81,14.13
18.36,15.15,28.84,17.57,14.37
16.53,14.66,25.02,18.58,14.34
17.99,15.72,25.39,17.54,14.31
16.55,15.29,25.64,17.14,16.16
16.95,16.56,25.57,20.9,15.64
16.21,15.74,25.15,17.83,15.07
16.32,14.96,26.17,17.39,14.55
18.77,15.02,30.58,18.92,14.66
16.3,14.52,25.46,17.61,14.55
17.77,18.25,25.42,17.52,14.48
16.46,15.06,25.58,18.21,14.41
16.7,14.6,28.65,18.37,14.12
16.67,14.75,25.64,18.88,14.07
19.15,15.21,29.57,18.59,14.02
16.43,14.29,24.78,18.79,14.47
17.0,14.52,24.97,17.19,14.36
16.6,14.83,25.4,17.5,14.12
17.06,17.09,24.7,17.65,14.22
16.23,14.96,24.6,17.51,14.29
16.39,14.98,24.63,18.49,14.14
16.34,14.84,25.36,19.73,14.63
16.45,14.51,24.93,18.43,14.4
16.28,14.73,25.1,17.5,14.23
17.01,14.32,30.19,16.97,13.79
17.07,14.55,24.91,17.9,14.11
17.41,15.28,28.8,18.47,14.18
16.87,15.07,25.3,17.68,14.36
15.91,15.34,25.0,20.31,14.54
16.11,15.95,28.97,17.51,15.85
16.62,16.5,24.64,20.0,14.32
16.47,14.71,24.72,17.4,14.46
16.22,14.89,24.97,20.32,14.16
16.61,14.36,24.89,18.0,14.35
16.13,14.64,25.16,17.46,14.24
16.8,14.39,24.88,17.62,14.11
16.43,15.27,24.53,17.7,14.05
17.8,14.96,24.6,17.73,14.36
16.87,14.41,24.89,17.47,14.11
