P-521,p521_mlkem1024,mlkem1024
9.83,16.55,6.71
9.3,15.8,6.02
8.0,16.62,5.88
8.42,17.11,5.99
10.97,16.43,6.67
8.17,16.08,6.32
8.48,15.73,8.75
8.18,16.59,6.39
8.05,19.79,6.0
8.28,16.04,6.25
8.02,24.36,6.09
8.41,16.28,5.95
10.52,24.15,6.03
7.87,16.0,6.81
8.0,16.08,6.27
7.88,16.1,5.92
7.71,15.92,6.23
7.75,16.59,5.97
8.03,16.49,5.96
7.82,16.04,6.17
8.01,23.04,6.16
8.08,22.67,6.19
8.06,16.11,6.14
8.03,16.91,6.72
8.04,15.98,5.96
8.07,19.49,5.92
8.05,16.72,6.09
7.95,16.19,6.4
8.2,23.69,6.28
7.96,16.57,6.03
8.27,16.05,6.15
7.88,16.13,6.16
7.8,19.71,5.98
8.06,15.86,6.21
8.37,17.39,6.02
7.84,19.08,5.96
7.79,16.44,5.98
8.12,18.09,6.02
7.77,15.85,6.25
7.96,15.9,6.45
9.7,15.6,6.17
8.04,15.9,6.51
8.02,16.9,6.78
7.94,16.3,7.29
7.75,17.83,6.11
8.2,16.14,6.64
8.25,16.38,8.19
7.96,16.38,6.11
7.82,16.36,5.97
8.14,16.91,5.91
7.96,16.33,6.39
7.91,16.4,5.99
7.72,18.09,6.16
8.17,16.45,5.99
8.36,16.88,5.98
7.8,19.44,6.2
8.1,18.65,5.98
7.76,16.35,6.53
7.76,16.15,6.17
8.07,16.69,6.0
8.32,15.85,6.16
7.93,16.21,6.71
8.36,16.95,6.21
8.23,16.82,6.19
8.39,20.6,6.28
8.11,16.87,6.05
8.05,19.65,6.55
8.07,16.85,6.28
8.16,16.12,6.51
8.15,17.11,6.28
7.96,15.88,7.41
8.08,16.71,6.11
7.78,16.01,6.1
9.23,16.9,5.93
8.09,16.93,6.02
7.93,23.21,5.94
8.12,18.56,6.65
7.97,20.19,6.22
7.86,15.89,6.15
8.15,16.39,6.23
7.94,20.44,6.58
8.47,18.63,6.43
8.03,16.89,6.71
8.21,17.24,6.53
8.01,16.76,6.38
7.81,15.93,6.11
7.98,16.86,6.65
7.83,16.98,6.18
8.1,15.96,6.5
8.18,18.52,6.29
7.83,16.12,6.62
10.4,15.72,6.63
7.89,16.18,6.67
7.86,15.77,6.57
