"No.","Time","Source","Destination","Protocol","Length","Info","UTC Time","Delta"
"1","0.000000000","da:33:d3:94:d4:5f","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","09:30:10,572645506","0.000000000"
"2","1.006847250","da:33:d3:94:d4:5f","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","09:30:11,579492756","1.006847250"
"3","2.004788376","da:33:d3:94:d4:5f","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","09:30:12,577433882","0.997941126"
"4","5.094824836","da:33:d3:94:d4:5f","Broadcast","ARP","42","Who has 172.19.0.2? Tell 172.19.0.3","09:30:15,667470342","3.090036460"
"5","5.094833336","6e:b2:51:38:71:bc","da:33:d3:94:d4:5f","ARP","42","172.19.0.2 is at 6e:b2:51:38:71:bc","09:30:15,667478842","0.000008500"
"6","5.094841169","172.19.0.3","172.19.0.2","QUIC","2482","Initial, DCID=24e4126d99aa8d53, PKN: 1, CRYPTO, PADDING","09:30:15,667486675","0.000007833"
"7","5.095342669","172.19.0.2","172.19.0.3","QUIC","1562","Handshake, SCID=820d66c755867968d1","09:30:15,667988175","0.000501500"
"8","5.095804044","172.19.0.3","172.19.0.2","QUIC","177","Protected Payload (KP0), DCID=820d66c755867968d1","09:30:15,668449550","0.000461375"
"9","5.095862669","172.19.0.2","172.19.0.3","QUIC","1262","Protected Payload (KP0)","09:30:15,668508175","0.000058625"
