P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
9.86,8.28,17.28,1248.83,6.36
9.23,5.88,16.09,6.58,5.03
11.21,5.73,17.53,6.7,5.19
8.76,5.58,17.13,6.78,5.3
213.71,6.87,16.59,6.68,5.13
8.97,6.13,18.88,8.99,4.93
8.82,8.02,16.1,8.12,5.35
9.48,6.29,15.83,6.7,6.74
8.73,5.97,15.71,9.26,6.61
8.7,5.74,17.75,7.86,5.07
8.68,5.41,17.31,9.05,5.27
8.63,1069.91,17.2,6.96,5.32
3777.43,6.1,1037.03,6.58,5.34
8.77,6.09,17.74,6.45,1033.81
8.92,5.74,17.58,7.5,1219.24
8.86,5.69,16.52,6.79,8.69
1017.89,5.48,17.87,6.95,6.68
8.69,1056.95,24.52,7.18,5.44
8.63,5.9,16.75,6.63,5.99
1041.84,214.81,18.55,6.55,1053.19
8.92,5.42,18.04,10.67,5.01
1059.98,5.78,16.37,6.71,5.01
9.51,5.41,18.56,10.3,5.06
11.32,5.5,16.44,6.79,4.77
10.52,214.31,17.97,6.67,4.85
9.27,7.83,1244.21,6.73,4.7
1055.64,6.78,20.46,6.58,4615.55
11.19,5.67,16.45,6.79,4.7
11.44,6.07,16.24,6.4,4.76
9.32,5.88,16.46,6.66,4.88
215.88,6.13,21.87,14.3,1242.28
9.79,5.68,18.78,6.91,5.0
11.56,208.68,21.34,6.92,4.89
10.35,1030.93,1047.2,6.75,5.07
10.26,1012.75,17.16,6.55,4.9
831.07,5.36,17.5,6.71,5.79
9.24,1062.82,17.46,8.28,5.57
9.05,5.29,1059.04,7.51,1038.41
8.97,213.35,16.41,7.35,4.89
8.86,5.57,19.03,7.32,4.71
8.85,1014.95,20.53,8.94,4.7
214.79,8.01,22.09,6.89,10.75
8.95,6.82,21.87,10.18,4.87
8.9,5.36,18.97,7.32,4.81
9.25,5.31,17.95,6.62,4.77
1016.88,5.83,18.53,6.67,1031.93
9.07,5.41,18.34,6.63,4.97
9.04,5.51,21.72,6.29,6.02
9.0,5.41,18.03,6.57,6.83
1019.82,6.45,17.03,6.29,5.74
9.34,211.2,16.91,6.58,5.17
9.13,5.58,16.92,6.74,4.95
8.89,5.47,16.98,6.8,6.73
216.37,5.44,16.55,6.69,4.96
8.96,5.5,16.45,6.42,4.97
8.92,5.85,17.1,6.41,5.05
8.67,214.59,17.6,217.6,8.8
1058.59,6.87,16.78,6.95,5.01
9.02,5.59,17.47,10.65,4.88
9.34,211.54,21.55,217.45,1052.95
11.56,422.23,17.93,6.87,5.83
9.44,4627.93,25.55,6.74,5.81
216.54,1011.66,4605.07,1012.59,5.09
10.86,5.81,22.64,7.03,213.1
1067.66,6.01,20.36,6.55,2087.71
217.52,208.15,1071.71,6.61,5.16
