P-521,p521_mlkem1024,mlkem1024
18.45,31.22,8.96
18.45,27.44,217.43
18.09,30.84,9.63
223.13,30.45,8.95
18.4,33.11,1055.97
18.08,27.84,626.04
18.18,29.8,9.1
224.38,35.03,3109.43
18.55,1093.21,12.76
1048.42,1276.07,8.78
18.88,30.47,8.84
18.39,30.06,8.78
17.97,29.21,9.08
1055.0,27.59,8.79
23.73,1031.59,10.22
18.02,27.46,9.1
18.75,27.05,8.9
18.18,29.54,11.07
18.45,30.63,14.89
1258.58,27.0,8.95
19.35,27.25,1015.44
222.35,1033.87,8.76
220.21,27.49,8.84
19.91,30.61,9.12
23.46,27.5,1019.76
18.05,27.47,8.83
17.89,27.64,8.8
18.29,1072.59,12.34
18.04,854.62,1219.51
17.81,27.55,9.1
20.09,238.34,1045.32
19.83,28.11,3881.92
19.23,27.25,9.08
19.07,27.66,10.09
18.67,27.48,8.97
1246.82,27.08,8.84
19.4,1700.93,12.42
19.94,27.67,13.9
19.73,27.55,8.84
18.96,27.01,10.11
19.56,32.09,8.84
1034.32,4643.68,8.73
17.95,27.53,8.87
18.25,31.03,11.28
221.28,31.18,10.52
18.24,27.97,11.74
2105.83,1246.36,12.31
18.83,26.64,9.4
18.41,1028.16,1441.8
18.63,28.24,8.94
18.72,27.27,13.61
1023.13,27.41,12.93
17.96,32.38,1216.66
227.01,1862.51,8.9
1068.08,29.25,8.75
228.6,31.68,11.4
1027.4,28.56,9.01
18.97,27.65,8.72
430.76,27.1,1233.88
1261.21,1079.04,8.89
18.55,648.39,9.09
224.49,30.63,8.95
221.16,31.98,12.94
18.32,1030.12,8.65
224.85,27.01,1028.71
19.39,27.13,217.18
1039.73,27.32,8.87
19.45,27.29,9.0
18.3,27.02,16.69
17.89,27.4,8.83
2284.26,27.99,12.78
17.97,1066.23,216.57
20.83,233.2,11.82
19.09,1089.76,1472.04
18.51,1488.03,9.4
18.52,26.95,11.54
18.5,28.28,8.95
18.9,1036.32,1250.07
26.44,32.99,8.74
18.58,37.23,8.76
18.51,1042.27,8.75
18.71,26.86,1071.4
2065.29,27.64,11.05
18.21,852.38,9.2
18.16,27.41,1032.89
227.95,27.01,625.49
20.79,31.17,9.92
18.17,31.34,1059.81
221.57,27.57,12.21
18.5,27.06,9.33
227.99,31.1,9.94
19.07,26.9,1277.56
18.99,28.09,12.61
17.88,1061.89,4625.99
429.47,27.58,8.82
18.53,34.88,214.91
18.33,649.56,629.0
1245.21,29.56,8.78
19.13,29.91,1274.1
4611.68,30.11,8.98
18.16,1036.62,11.47
222.83,27.49,1018.17
18.14,27.29,8.93
225.4,26.34,8.76
228.51,27.73,8.71
1075.88,30.32,5320.42
18.36,28.55,8.99
17.89,27.53,12.47
24.27,27.74,8.94
18.61,27.8,1271.25
18.3,35.33,628.87
18.03,26.93,8.84
2052.47,26.64,8.96
1077.37,27.14,9.75
18.23,27.68,10.16
18.35,30.25,13.09
221.49,27.04,9.84
18.18,32.34,2295.12
17.76,28.04,9.46
429.26,1060.38,9.81
220.06,27.8,9.54
18.17,27.55,1269.15
18.05,27.62,11.19
1030.04,2104.51,8.85
17.91,32.75,8.72
17.85,1238.99,9.0
17.91,30.77,8.8
17.94,27.8,8.99
2056.38,241.65,9.34
228.27,28.37,8.69
18.48,28.56,8.78
18.75,28.52,8.85
18.99,37.38,1060.39
19.05,28.3,8.77
1038.28,1027.75,8.72
19.57,26.59,8.74
19.21,26.62,8.75
20.03,26.84,8.72
19.02,1029.51,1045.59
19.74,27.52,8.8
19.11,2690.59,10.49
18.57,26.92,1036.54
1054.7,27.32,1013.26
1076.86,27.32,9.24
18.31,31.56,9.5
18.26,26.94,8.96
17.83,1086.7,9.52
17.86,29.53,8.8
1030.24,1035.61,8.77
19.44,27.31,8.71
18.11,30.75,8.86
18.54,27.11,8.96
18.05,27.22,215.84
17.97,26.63,8.9
226.92,26.61,1036.99
18.34,4827.32,218.02
1048.99,1269.4,12.22
1077.58,27.78,1018.39
428.82,32.03,9.06
221.62,240.7,9.12
19.34,234.85,11.98
1079.07,1062.44,8.96
18.46,1274.36,2082.32
18.85,40.61,217.89
17.86,33.39,1248.87
18.05,34.69,8.76
18.12,28.32,214.25
18.95,1063.2,629.32
18.14,27.09,11.13
18.35,27.57,8.93
2069.92,26.66,8.9
25.8,26.41,11.11
24.33,26.43,1871.77
846.62,27.19,9.1
19.37,28.39,13.47
20.36,27.83,9.37
20.1,30.34,9.03
19.75,27.38,8.8
18.7,27.56,1043.49
20.7,233.57,1011.74
20.06,27.48,8.89
18.74,29.02,11.39
19.61,30.94,10.81
18.27,27.25,7056.6
25.98,28.43,8.83
23.41,29.37,8.75
18.56,27.16,9.91
18.78,27.47,12.27
221.78,27.28,9.02
19.11,27.05,8.78
26.12,27.16,219.76
222.62,28.26,9.05
18.46,236.31,1060.63
226.39,35.2,8.9
18.51,28.66,1058.12
18.38,27.99,12.66
1072.77,31.23,1258.48
18.7,27.72,8.8
18.98,1081.95,9.13
18.72,27.53,12.35
18.71,29.88,8.92
18.67,31.19,1250.37
223.39,27.73,221.42
1077.9,1042.97,9.2
18.98,27.52,15.03
19.6,1038.67,8.8
21.16,1073.42,8.73
19.08,1077.15,9.14
18.83,27.65,8.86
18.65,27.04,8.72
18.77,27.77,1073.59
18.58,30.4,15.65
