Handshake_ID,P-521_Time_ms,P-521_Bytes_Total,2,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,5,mlkem1024_Time_ms,mlkem1024_Bytes_Total
99,5.9,3963.0,,14.98,14102.0,,4.03,6601.0
100,5.9,3963.0,,14.68,6734.0,,5.16,6601.0
101,6.01,3963.0,,15.32,6735.0,,1031.23,6602.0
102,5.84,3963.0,,14.19,8716.0,,5.84,12317.0
103,5.77,3963.0,,17.32,6735.0,,4.35,6601.0
104,5.88,3963.0,,15.54,6735.0,,4.72,6602.0
105,5.86,3963.0,,21.3,6735.0,,4.0,6602.0
106,6.09,6841.0,,22.1,6734.0,,3.93,6105.0
107,6.55,3963.0,,18.0,11707.0,,4.38,6601.0
108,6.14,3963.0,,17.79,6735.0,,4.59,6602.0
109,6.04,5402.0,,1015.46,9725.0,,4.4,6601.0
110,6.21,3963.0,,16.23,9725.0,,1026.22,11493.0
111,5.95,3963.0,,18.5,6735.0,,3.94,6601.0
112,8.46,3963.0,,17.7,6735.0,,4.17,9459.0
113,6.04,3963.0,,16.7,6734.0,,4.09,6602.0
114,5.77,3963.0,,17.31,6734.0,,4.62,8716.0
115,5.8,3963.0,,18.34,6734.0,,4.21,6601.0
116,6.48,3963.0,,1040.9,6733.0,,4.67,6602.0
117,1006.17,3963.0,,1026.32,6734.0,,5.18,9458.0
118,5.96,3963.0,,1018.8,6734.0,,5.22,9460.0
119,6.05,-1.0,,1047.71,6734.0,,4.92,6602.0
120,6.4,-1.0,,14.94,6734.0,,4.19,11572.0
121,5.75,3963.0,,14.84,6734.0,,4.36,9460.0
122,5.8,3963.0,,1014.65,6735.0,,4.03,15110.0
123,1006.11,3963.0,,17.64,6734.0,,4.24,6601.0
124,1005.86,3963.0,,14.37,6735.0,,1123.58,8714.0
125,5.77,5402.0,,14.81,6735.0,,4.41,6602.0
126,6.37,5402.0,,14.7,6735.0,,4.76,6601.0
127,5.78,3963.0,,1017.31,6735.0,,4.13,6601.0
128,5.77,3963.0,,14.72,15364.0,,1085.09,-1.0
129,5.96,6841.0,,21.24,8715.0,,4.08,6597.0
130,5.68,3963.0,,14.98,6734.0,,3.78,6602.0
131,5.95,5402.0,,15.23,6734.0,,5.83,6601.0
132,6.25,3963.0,,14.01,6734.0,,1003.46,-1.0
133,5.82,3963.0,,14.59,9724.0,,1009.3,-1.0
134,6.07,5402.0,,17.18,6735.0,,4.35,11282.0
