P-521,p521_mlkem1024,mlkem1024
18.16,26.98,10.28
432.99,1451.49,11.76
18.12,27.2,9.22
18.34,1074.65,9.27
2083.7,35.1,9.72
18.64,39.34,11.98
18.1,32.96,8.79
1020.37,30.34,8.71
18.08,29.59,8.74
225.15,36.91,215.41
18.25,27.68,8.81
18.15,4664.94,10.04
18.16,29.53,9.07
18.78,29.05,8.89
1290.61,28.7,8.86
18.2,643.98,9.03
1032.95,29.32,8.87
17.94,29.14,8.8
2073.4,235.83,8.9
18.28,235.59,1235.16
18.82,27.55,1268.6
18.24,28.46,9.3
1263.07,27.6,9.26
18.05,28.4,9.15
17.93,27.75,8.97
17.94,1060.73,12.55
18.53,28.35,9.07
221.41,233.5,9.5
222.0,31.49,14.0
1062.28,1069.39,8.97
20.0,27.99,1066.03
1044.08,28.01,8.81
18.85,649.53,9.03
1047.43,27.15,8.78
24.72,33.33,8.81
20.36,31.52,8.75
18.49,34.12,8.94
1039.94,31.36,8.85
18.72,1287.01,1270.43
19.77,27.26,1269.77
19.96,27.58,5269.04
19.95,26.82,1237.22
18.91,27.55,628.95
1052.21,27.46,1269.41
18.16,27.62,8.97
1049.52,28.24,8.91
18.88,27.33,1232.18
17.88,27.81,1060.31
1020.19,1032.91,8.75
18.23,27.28,8.99
18.13,27.21,1038.63
17.99,1064.39,10.94
433.52,1076.53,12.57
1059.77,27.38,11.19
220.79,235.41,11.6
19.12,26.97,9.41
19.21,31.0,8.87
18.58,1235.74,1073.06
1076.36,27.33,1013.01
1076.55,30.19,10.34
18.53,27.93,10.67
18.28,27.76,10.22
1080.57,27.12,10.27
21.69,28.34,11.4
842.31,27.81,9.84
5629.51,36.21,13.88
19.95,1058.87,628.5
18.88,29.8,1248.68
1078.26,33.18,8.99
18.14,26.78,8.71
18.1,27.78,8.99
19.33,26.85,8.78
1054.52,31.93,8.78
18.44,27.93,1032.84
18.65,27.58,8.99
18.48,36.57,12.88
1053.16,26.73,8.96
18.49,1053.71,1014.56
18.24,26.77,8.94
18.82,37.35,222.24
18.08,38.59,8.96
18.06,31.88,8.85
17.74,28.24,9.34
18.16,27.89,1225.11
17.93,27.45,9.17
18.46,1033.19,1044.25
17.85,28.38,8.94
18.03,26.8,1262.16
17.94,27.64,8.96
1058.42,29.21,12.25
18.0,26.64,9.05
1048.95,30.79,12.99
18.34,38.59,220.81
17.99,30.92,8.92
17.99,29.72,8.91
18.4,27.53,221.65
221.4,37.43,8.99
18.1,27.99,7017.52
18.24,1667.11,429.11
1476.96,30.55,8.9
18.04,28.94,9.08
18.13,1055.54,222.07
1053.45,28.63,9.04
18.17,1239.83,9.03
1257.15,26.65,9.16
18.2,26.66,8.97
18.11,26.83,8.82
18.11,26.51,8.84
225.39,26.34,1042.47
1269.41,26.26,8.99
1061.68,26.34,8.83
18.64,27.95,8.86
18.44,27.01,8.77
225.74,1050.7,1265.4
18.14,26.51,9.48
18.31,27.81,12.62
18.04,28.04,12.09
18.32,26.48,8.94
18.09,26.7,9.33
223.93,26.32,9.07
18.2,26.71,11.32
1081.58,26.5,9.23
18.84,238.57,12.29
17.83,1245.12,9.1
1019.95,1064.92,8.97
1077.51,26.41,8.77
18.5,1453.14,8.95
1047.76,26.72,8.78
1077.37,26.59,8.79
18.95,1038.96,1275.03
429.02,1077.66,8.79
18.16,26.81,8.96
20.72,26.66,8.66
19.1,27.25,9.12
1025.15,26.92,8.76
17.8,26.62,8.99
17.91,30.41,8.97
222.05,26.76,9.01
18.02,38.76,9.45
225.08,27.62,1015.76
17.97,31.6,9.02
17.97,27.18,4640.94
18.36,26.87,8.81
18.08,1457.15,8.76
18.11,26.68,12.53
19.26,5072.94,12.68
18.28,30.98,8.78
219.54,27.82,8.86
221.84,26.8,215.21
18.24,26.59,8.9
18.06,26.3,8.78
1020.37,27.06,8.65
18.45,1279.83,13.85
1048.48,26.68,1029.09
1076.78,26.83,12.47
18.15,1056.2,9.21
18.47,1076.12,8.89
1436.19,30.41,8.7
18.78,647.96,8.86
19.65,236.66,1038.43
18.82,27.21,8.92
18.76,1051.09,12.32
24.78,28.42,8.74
19.6,27.27,1015.98
1048.03,1062.38,9.01
1075.43,27.03,1261.89
26.43,30.7,8.9
19.47,27.33,8.87
19.65,26.87,8.76
20.01,27.74,8.87
228.13,34.77,218.77
18.8,28.05,9.71
18.86,1256.22,15.44
224.25,1269.76,9.31
19.02,1063.62,9.2
19.79,27.49,9.35
18.33,27.56,9.49
20.4,26.63,9.63
19.42,26.52,9.68
4603.51,27.09,9.62
1077.09,27.5,9.9
18.22,1244.83,10.05
1048.12,1268.7,10.19
18.0,28.27,12.95
18.59,30.97,11.62
18.81,1458.05,13.24
1262.84,35.8,15.48
18.28,29.3,13.35
1030.88,1082.25,1064.47
18.22,28.0,9.35
18.63,28.44,9.05
18.73,1060.71,9.64
18.89,27.23,9.04
18.83,26.52,9.2
19.39,1065.9,9.93
1030.72,26.6,1227.72
18.12,1244.35,10.18
17.97,237.56,216.34
1289.13,27.79,11.0
1061.45,31.62,11.38
220.44,27.25,12.23
1037.47,26.97,8.82
18.75,27.42,9.1
223.44,29.88,9.09
18.11,26.5,9.25
18.55,26.46,9.24
17.92,1081.97,9.69
17.86,233.29,219.83
17.95,26.61,9.65
23.92,26.76,9.73
19.8,26.47,9.69
22.95,30.05,8.98
1020.31,237.68,1216.65
18.11,26.63,8.99
432.73,26.82,9.08
17.91,1474.22,1026.85
1025.27,237.29,8.95
18.22,237.08,9.23
17.94,28.27,13.02
17.95,27.3,9.0
224.56,645.37,11.87
18.84,26.82,9.02
18.78,26.19,12.79
18.82,29.42,9.05
24.25,26.71,13.06
23.17,26.41,9.12
18.34,1037.37,12.9
18.74,441.5,10.14
18.41,28.51,9.2
18.69,35.27,8.87
18.61,27.35,1011.45
18.1,1279.9,1217.97
17.92,29.45,1064.78
18.28,28.58,8.8
433.32,28.51,8.74
18.35,28.63,1452.84
1048.28,27.36,1459.08
18.23,1050.31,8.9
18.23,26.83,9.89
17.93,29.4,9.65
222.04,31.17,9.18
222.02,29.89,9.13
18.16,1041.69,9.48
18.03,4662.25,1054.18
226.96,28.17,8.92
18.68,1238.72,10.32
18.84,27.55,9.62
1068.56,28.33,222.22
